mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e13,0.01,1.0,1.9763729906939704e-8,3.27049244674498e-8,0.6547951536195611
1.0e13,0.01,2.0,3.80764545131557e-9,9.302921108538268e-9,1.4432214678296895
1.0e13,0.01,4.0,5.622523085022264e-10,2.0810811081819453e-9,2.7013295929823733
1.0e13,0.1,0.003,5.95098408645289e-7,5.95098305154783e-7,1.7390486095614222e-7
1.0e13,0.1,0.01,5.702586037233764e-7,5.702583897206395e-7,3.752731401185372e-7
1.0e13,0.1,0.03,5.124480093795408e-7,5.124476439625031e-7,7.130811926492342e-7
1.0e13,0.1,0.1,3.618498507627507e-7,3.618493967411035e-7,1.2547238757987245e-6
1.0e13,0.1,0.3,1.5310307052433828e-7,1.5310280999540063e-7,1.7016571696171212e-6
1.0e13,0.1,1.0,2.0617124120570983e-8,2.061699824885275e-8,6.105202524753217e-6
1.0e13,0.1,2.0,3.806993148769952e-9,3.806906366698961e-9,2.2795436608324948e-5
1.0e13,0.1,4.0,5.275223407836214e-10,5.274861332304719e-10,6.863700425596697e-5
1.0e13,0.5,0.003,8.327115610676185e-7,8.32711560379676e-7,8.261473727344537e-10
1.0e13,0.5,0.01,7.999189581637538e-7,7.999189595489853e-7,1.731714771580073e-9
1.0e13,0.5,0.03,7.236469144390859e-7,7.236469171945709e-7,3.807775428299465e-9
1.0e13,0.5,0.1,5.209576561905792e-7,5.209576604220019e-7,8.12239275838067e-9
1.0e13,0.5,0.3,2.2514212028225097e-7,2.2514211541061316e-7,2.163805601362867e-8
1.0e13,0.5,1.0,2.8278895860588152e-8,2.827889406016222e-8,6.366676907898494e-8
1.0e13,0.5,2.0,4.509122866351334e-9,4.509122618317474e-9,5.500711930395141e-8
1.0e13,0.5,4.0,4.946380457237461e-10,4.946380124119293e-10,6.734584423462309e-8
1.0e13,1.0,0.003,1.3664021715104897e-6,1.3664021720809988e-6,4.1752645785209097e-10
1.0e13,1.0,0.01,1.3155479111279922e-6,1.3155479112802478e-6,1.157356432912593e-10
1.0e13,1.0,0.03,1.1974419856833914e-6,1.1974419900653232e-6,3.659410552359077e-9
1.0e13,1.0,0.1,8.784889254257186e-7,8.784889268698954e-7,1.6439327676920357e-9
1.0e13,1.0,0.3,3.9042289400055315e-7,3.9042289248307245e-7,3.886761579252607e-9
1.0e13,1.0,1.0,4.72566826738746e-8,4.725668229757874e-8,7.962807413441908e-9
1.0e13,1.0,2.0,6.6711638856810726e-9,6.671163764259887e-9,1.8200899787323976e-8
1.0e13,1.0,4.0,5.894279237616279e-10,5.894279247219764e-10,1.6292891480418348e-9
1.0e13,3.0,0.003,6.901139523270324e-6,6.901139524931485e-6,2.407083421473999e-10
1.0e13,3.0,0.01,6.678606824213335e-6,6.678606826727115e-6,3.7639291683433385e-10
1.0e13,3.0,0.03,6.16508767541934e-6,6.165087688000304e-6,2.0406789591476127e-9
1.0e13,3.0,0.1,4.73645181845652e-6,4.736451839995587e-6,4.5475110344028735e-9
1.0e13,3.0,0.3,2.3016948305091985e-6,2.3016948326191737e-6,9.167049341840539e-10
1.0e13,3.0,1.0,2.835725738555955e-7,2.835725690823115e-7,1.6832671700939272e-8
1.0e13,3.0,2.0,3.2418763705569136e-8,3.2418762087733414e-8,4.9904300358782905e-8
1.0e13,3.0,4.0,1.7653756104517062e-9,1.765375609918016e-9,3.023097328025415e-10
1.0e13,5.0,0.003,1.9749806472970416e-5,1.9749806485148246e-5,6.166049892897263e-10
1.0e13,5.0,0.01,1.9166197054523248e-5,1.9166197075478172e-5,1.093327206547201e-9
1.0e13,5.0,0.03,1.7826327776819292e-5,1.782632790849023e-5,7.386318667812475e-9
1.0e13,5.0,0.1,1.4053996038258087e-5,1.4053996140893675e-5,7.3029471359120635e-9
1.0e13,5.0,0.3,7.250245493162292e-6,7.250245633047919e-6,1.929391602040198e-8
1.0e13,5.0,1.0,9.595627290805017e-7,9.595627162024055e-7,1.3420796585172923e-8
1.0e13,5.0,2.0,1.0368922193733085e-7,1.0368921836792698e-7,3.442405871467713e-8
1.0e13,5.0,4.0,4.4855714444481626e-9,4.4855712960619935e-9,3.308077256569675e-8
