cosmology,h,omega_m,omega_b,log10_mass_hinv,redshift,x,ne_native_m3,ne_paper_m3,n200_paper_m3,native_factor
HalfDome,0.68,0.31,0.049,13.2,0.0,0.12603850004898826,1100.0201013352441,1828.3946375695562,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.12860203598881473,1087.976967441197,1808.377183884228,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.1312177124770628,1075.9596753868207,1788.402683124053,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.13388659001643394,1063.9682699898233,1768.47120978263,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.13660975067952133,1052.0028194425256,1748.5828772055916,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.13938829854752655,1040.063415805912,1728.737838411787,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.1422233601578993,1028.150175502598,1708.936286912667,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.1451160849610821,1016.2632398079054,1689.1784575285235,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.14806764578654466,1004.4027753381712,1669.4646272001291,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.15107923931829703,992.5689745354507,1649.7951157943858,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.15415208658007476,980.762056147635,1630.1702869023507,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.1572874334303917,968.9822657030239,1610.5905486280442,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.16048655106766255,957.2298759783057,1591.0563543663038,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.16375073654559866,945.5051874588847,1571.5682035679124,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.16708131329908701,933.8085287904,1552.1266424900923,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.1704796316807652,922.140257220261,1532.7322649303994,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.17394706950850958,910.5007590279829,1513.3857129420044,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.17748503262405957,898.8904499430134,1494.087677528183,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.18109495546300336,887.3097755487419,1474.8388993138356,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.18477830163635708,875.7592116712704,1455.6401691916876,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.18853656452397316,864.2392647515535,1436.4923289408332,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.19237126788001727,852.7504721993766,1417.396271815103,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.19628396645076146,841.2934027276596,1398.3529430987264,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.20027624660494178,829.8686566654861,1379.3633406266295,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.20434972697693737,818.4768662482304,1360.428515266671,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.20850605912303166,807.1186958830835,1341.549571360984,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.21274692819102062,795.7948423882685,1322.7276671235877,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2170740536034414,784.506035204146,1303.9640149912743,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.22148918975469645,773.2530365744078,1285.2598819247828,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2259941267223573,762.0366416955079,1266.6165896571686,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2305906909929357,750.8576788324101,1248.035514886201,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2352807462024158,739.7170093987447,1229.5180894075904,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2400661938918493,728.6155279994143,1211.0658001858067,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.24494897427831788,717.5541624336379,1192.6801893591385,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.24993106704157703,706.533873656443,1174.3628541756877,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2550144921266998,695.5556556965615,1156.1154468569014,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.260201310563045,684.620535528692,1137.9396743852508,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2654936252998839,673.729572898052,1119.8372982126136,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.27089358205902137,662.8838600951873,1101.8101338859742,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2764033702047604,652.0845216789563,1083.8600505869802,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.28202522363155996,641.3327141456543,1065.988970581981,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2877614216697475,630.6296255422302,1048.1988685791373,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.29361429000965356,619.9764750216021,1030.4917709892893,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.2995862016445415,609.3745123380731,1012.8697550872641,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.3056795778327173,598.8250172809097,995.3349480704004,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.31189688907920626,588.329299044203,977.8895260111659,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.3182406561373976,577.8886955311484,960.5357127007659,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.32471345103106186,567.5045725909991,943.2757783808515,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.33131789809715423,557.1783231869902,926.1120383604845,215.99585198237747,0.6016316602183194
