panel,curve,x,x3_ne_over_n200
0,without_c_bpl,0.06683224926207516,0.003994637639119638
0,without_c_bpl,0.0692007240447462,0.004366920861928136
0,without_c_bpl,0.07165313544272028,0.004773077357204873
0,without_c_bpl,0.07419245809412323,0.005216081837350191
0,without_c_bpl,0.07682176129204271,0.0056991466091042475
0,without_c_bpl,0.07954425539316265,0.006225767061101822
0,without_c_bpl,0.08236323223570861,0.0067996992462552915
0,without_c_bpl,0.08528211108122806,0.007425029165332048
0,without_c_bpl,0.08830443236682124,0.008106156491295303
0,without_c_bpl,0.0914338619994938,0.008847832660595226
0,without_c_bpl,0.0946741958026973,0.009655192176187842
0,without_c_bpl,0.09802936412045123,0.01053375572842878
0,without_c_bpl,0.10150343658463085,0.011489485973578187
0,without_c_bpl,0.10510062705120354,0.012528799402125888
0,without_c_bpl,0.10882529871140077,0.013658602862312116
0,without_c_bpl,0.11268196938402557,0.014886316823080977
0,without_c_bpl,0.1166753169953145,0.016219874943702185
0,without_c_bpl,0.12081018525300107,0.017667873837662995
0,without_c_bpl,0.12509158952146282,0.019239453288748667
0,without_c_bpl,0.12952472290507838,0.020944426021354705
0,without_c_bpl,0.1341149625471731,0.02279329687651544
0,without_c_bpl,0.13886787615219376,0.02479730182135207
0,without_c_bpl,0.14378922873902336,0.026968380524364177
0,without_c_bpl,0.1488849687732767,0.029319298191259176
0,without_c_bpl,0.15416131810988917,0.03186369866758186
0,without_c_bpl,0.15962465651968585,0.03461603142067721
0,without_c_bpl,0.16528161072718012,0.037591604102445934
0,without_c_bpl,0.17113904230203986,0.040806701701639525
0,without_c_bpl,0.17720405598178843,0.044278585940159494
0,without_c_bpl,0.18348400828945466,0.048025470125131864
0,without_c_bpl,0.1899865164566245,0.052066592543297346
0,without_c_bpl,0.19671946766271803,0.056422102791025976
0,without_c_bpl,0.2036910286016974,0.06111341041963398
0,without_c_bpl,0.21090965538781115,0.06616271212664729
0,without_c_bpl,0.21838410381238835,0.07159350477407661
0,without_c_bpl,0.22612343996412504,0.07743001330948791
0,without_c_bpl,0.2341370512257435,0.08369777345331796
0,without_c_bpl,0.2424346576603636,0.09042316879286996
0,without_c_bpl,0.2510263238013967,0.09763344830718744
0,without_c_bpl,0.2599224708602629,0.10535690615493568
0,without_c_bpl,0.2691338893667386,0.11362245331844799
0,without_c_bpl,0.2786717522572671,0.12246006183837835
0,without_c_bpl,0.28854762842710635,0.13189980573486834
0,without_c_bpl,0.2987734967627535,0.14197294552142314
0,without_c_bpl,0.3093617606716653,0.15271034266738537
0,without_c_bpl,0.320325263126899,0.16414342345716967
0,without_c_bpl,0.33167730224492176,0.17630371079186205
0,without_c_bpl,0.34343164741548354,0.18922216934207778
0,without_c_bpl,0.3556025560031184,0.20292959524799606
0,without_c_bpl,0.3682047906405315,0.21745537568948575
0,without_c_bpl,0.3812536371348488,0.23282869561434866
0,without_c_bpl,0.39476481238703337,0.2490763510618365
0,without_c_bpl,0.4087549221551199,0.2662240218452745
0,without_c_bpl,0.4232408288260246,0.2842950643621871
0,without_c_bpl,0.4382401029958986,0.30330964856687104
0,without_c_bpl,0.45377093794701173,0.3232853263231792
0,without_c_bpl,0.4698521717151884,0.3442354304936129
0,without_c_bpl,0.48650330993929325,0.36617019142857293
0,without_c_bpl,0.5037445495204826,0.3890941069152834
0,without_c_bpl,0.5215968031199181,0.41300709634323385
0,without_c_bpl,0.5400817245246565,0.43790195577935914
0,without_c_bpl,0.5592217349124862,0.4637662816342328
0,without_c_bpl,0.5790400500475623,0.4905804400784272
0,without_c_bpl,0.5995607084398344,0.5183162593960848
0,without_c_bpl,0.6208086005024162,0.5469389370632369
0,without_c_bpl,0.642809498742267,0.5764026136637896
0,without_c_bpl,0.6655900890208052,0.6066537718328532
0,without_c_bpl,0.689178002922367,0.637628840791138
0,without_c_bpl,0.7136018512697767,0.6692536938569968
0,without_c_bpl,0.7388912588276775,0.7014432100326999
0,without_c_bpl,0.765076900235717,0.7341027533412664
0,without_c_bpl,0.7921905372151729,0.7671254401266274
0,without_c_bpl,0.8202650570941481,0.8003937886631407
0,without_c_bpl,0.8493345126980636,0.8337799016642766
0,without_c_bpl,0.8794341636538346,0.8671436174127767
0,without_c_bpl,0.9106005191578306,0.9003359491258182
