mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e13,0.01,1.0,6.414611627860097e-7,6.860203779731519e-7,0.06946518007982205
1.0e13,0.01,2.0,1.6384070857392387e-7,2.0839514643054236e-7,0.2719375315476973
1.0e13,0.01,4.0,1.949607188588899e-8,3.7008624029598974e-8,0.8982605442886855
1.0e13,0.1,0.003,2.92100572779391e-6,2.921005429467512e-6,1.0213139789438941e-7
1.0e13,0.1,0.01,2.8716334798621294e-6,2.871632900093541e-6,2.0189505123280327e-7
1.0e13,0.1,0.03,2.7623848078338536e-6,2.7623837310818547e-6,3.8979073291312005e-7
1.0e13,0.1,0.1,2.4518673675453178e-6,2.4518654364380784e-6,7.87606729835133e-7
1.0e13,0.1,0.3,1.7662667589269552e-6,1.766264504127594e-6,1.2765904978673248e-6
1.0e13,0.1,1.0,5.95478879252954e-7,5.954779831583627e-7,1.504830183796102e-6
1.0e13,0.1,2.0,1.5442715444356592e-7,1.5442691386425976e-7,1.5578821420669797e-6
1.0e13,0.1,4.0,1.8118169590220765e-8,1.811809348472191e-8,4.200507036644652e-6
1.0e13,0.5,0.003,2.13262950424424e-6,2.1326294999162094e-6,2.029433843198092e-9
1.0e13,0.5,0.01,2.1004843534156212e-6,2.1004843504210434e-6,1.4256605895823782e-9
1.0e13,0.5,0.03,2.0299425270467715e-6,2.0299425256761447e-6,6.752047809754913e-10
1.0e13,0.5,0.1,1.8303450153076695e-6,1.8303450280523663e-6,6.963002396886964e-9
1.0e13,0.5,0.3,1.3779423352971698e-6,1.3779423531072305e-6,1.2925113201944782e-8
1.0e13,0.5,1.0,5.226153259867937e-7,5.226153288629853e-7,5.503458355704538e-9
1.0e13,0.5,2.0,1.4723364024671642e-7,1.4723363663190504e-7,2.4551531696559437e-8
1.0e13,0.5,4.0,1.7386125606220912e-8,1.738612370518054e-8,1.0934238126036888e-7
1.0e13,1.0,0.003,1.914630335772134e-6,1.914630335947316e-6,9.14965880838281e-11
1.0e13,1.0,0.01,1.8887370865633047e-6,1.8887370865747496e-6,6.059597268404104e-12
1.0e13,1.0,0.03,1.8323352960848953e-6,1.8323352979659683e-6,1.0265985839197356e-9
1.0e13,1.0,0.1,1.6737157993320951e-6,1.6737158007382901e-6,8.401634943311365e-10
1.0e13,1.0,0.3,1.307872155140805e-6,1.3078721648925508e-6,7.456192108179494e-9
1.0e13,1.0,1.0,5.549416116557529e-7,5.549416151563365e-7,6.308021438528044e-9
