method,N,estimator,best_val_logp,n_test,mean_rmse_over_prior_range,mean_rmse_sem,pooled_pearson_r,pooled_pearson_sem,rmse_P0,rmse_xc,rmse_beta,rmse_alpha_m_P0,rmse_alpha_m_xc,rmse_alpha_m_beta,rmse_alpha_z_P0,rmse_alpha_z_xc,rmse_alpha_z_beta,r_P0,r_xc,r_beta,r_alpha_m_P0,r_alpha_m_xc,r_alpha_m_beta,r_alpha_z_P0,r_alpha_z_xc,r_alpha_z_beta
moped,1024,nsf,-5.376011848449707,843,0.18831049964278357,0.001417962900561644,0.6123392952378713,0.007344186274231037,0.23892481920369837,0.2114108015318587,0.22093794235097122,0.15078013405691493,0.1765004927844954,0.18650743855635246,0.1867899072130641,0.1492528291580034,0.17369013192969343,0.5142543988214371,0.4249435254059248,0.41035288580078494,0.7500845846363783,0.39294773058351196,0.1755716614981747,0.6952944681026896,0.3617710792332174,0.25094276240611785
moped,2048,maf,-2.818549712498983,843,0.18162060648631317,0.001395406491811324,0.6463925252748703,0.006781188331007017,0.22966185298442776,0.20551902148608664,0.21757389315513737,0.1457393797604593,0.16368191909465257,0.18340557264246324,0.17270929250067163,0.14380010515774114,0.17249442159517886,0.5584815831431718,0.4901033765941733,0.4473775588584177,0.7700091285216977,0.5267120647519183,0.2524135884431563,0.7446811897190468,0.4387078107624023,0.28014510296579365
moped,2048,nsf,-3.8961751461029053,843,0.18237340592646448,0.0014173054778786084,0.6435587199071474,0.007450128574997163,0.2293615569854702,0.20366133454971408,0.2170538195725308,0.14592753249244025,0.16688839806843186,0.18418741431301472,0.17309134866488138,0.14657632520633732,0.17461292348535967,0.5707349163018461,0.4878862780215746,0.4454365854151006,0.7672141762365448,0.4955580113702168,0.23364183978350556,0.7458408279506488,0.40417700940053797,0.24104028177286538
moped,4096,maf,0.6279994583129883,843,0.1716739938819526,0.0013583029261978196,0.6927304844507967,0.006874185566129197,0.214371383365536,0.19269484103836645,0.20160874433376627,0.1280701227281106,0.15189824554770526,0.1808175985890183,0.1650880846217146,0.1410852188113309,0.16943170590202503,0.6446151368115934,0.5634512996440886,0.5563552999406913,0.8290375775455242,0.6070913507798938,0.30019511604352306,0.7714772865729327,0.472025998416046,0.328189867732852
moped,4096,nsf,-1.6045526123046876,843,0.17621980971550819,0.0014075958819428271,0.6725222182871842,0.007669192393882594,0.2191807279154863,0.19665855048475633,0.21173398018669057,0.13335680358336188,0.1583229874736305,0.1800133569743405,0.17493379746401252,0.14190614847434793,0.16987193488294708,0.6172997932339275,0.5383626432180244,0.489202191235605,0.8097071656336237,0.5779565548216297,0.31346513099963097,0.7416079043848454,0.4638520701340839,0.33081579027334046
moped,7349,maf,3.907684020996094,843,0.16659241689650756,0.0013565878419253277,0.7137453390006452,0.007045187931545509,0.2053879931776077,0.1862177767468146,0.202680004820437,0.12334279593293941,0.14647508580570595,0.17441950761846547,0.1630670628746414,0.13476776461659581,0.16297376047536072,0.6771726745913744,0.60348997971808,0.5536145946892125,0.8406868413317443,0.6451970395942007,0.39220067625768473,0.7802537652991695,0.5385750602649318,0.42207965144385345
moped,7349,nsf,1.448063918522426,843,0.16934416173976846,0.0013656856096407053,0.7026408833103909,0.007237255505477587,0.20782602497642358,0.19009911588633938,0.20618877276694964,0.12755500010415685,0.14843126245515734,0.17487311922072385,0.16179507946188143,0.13901469220141238,0.16831438858487158,0.6637471203424893,0.5791777477647431,0.5270068962184363,0.8279978965556416,0.634200675167502,0.3863871325193844,0.7800720255894029,0.4954650891094225,0.34590016023947545
pca,256,maf,-8.21749760554387,843,0.20299439934581687,0.0013969679666356821,0.5232430602781762,0.00790076455353541,0.26765738666520084,0.22175906901548556,0.23236153723342848,0.20469242810799915,0.18393116751340832,0.18831821630272058,0.19792717489622974,0.15435889064745587,0.17594372373042363,0.3102525863027273,0.36179701803602093,0.31938876233087254,0.4564340754413823,0.2811266104468927,0.12713708496063988,0.6433591914133663,0.2592469935376274,0.2002145515427256
pca,256,nsf,-9.348626943734976,843,0.2100740279583151,0.0014070719669249936,0.4752693727364856,0.008669932321336515,0.2586620600612556,0.23041358866894648,0.23567127445517702,0.2215099103775103,0.18777194229846314,0.19022872955796064,0.2294012444574759,0.1592622637182619,0.1777452380297848,0.4005780352786458,0.23244748500470172,0.29878582544108045,0.2888677803595091,0.19299169905593927,0.013735587094725821,0.583295308543216,0.08584902555427158,0.15805995557756441
pca,512,maf,-6.239924907684326,843,0.19855462298080065,0.0014236551897537828,0.5553953290254504,0.007618541451148896,0.24903981288450672,0.2167644286758858,0.2270812685704416,0.19548085548939334,0.18366494072184922,0.19247678816944594,0.19358190749274234,0.15462836413907716,0.1742732406838638,0.43468004098266794,0.38027055465131254,0.34813627218717036,0.5174422445928426,0.2816186240818297,0.0814139118049582,0.6619072669975405,0.2737622197644921,0.24363254746747487
pca,512,nsf,-7.7230448722839355,843,0.20014698267647288,0.0014293919179219074,0.545313596134132,0.007797109974523033,0.2510369492043915,0.21717953427193515,0.22713760861097576,0.20348196465150367,0.1835907156417333,0.1888572046955216,0.19966845846626283,0.15514936693190223,0.1752210416140299,0.44044130194314923,0.36620092779197,0.3569058235540066,0.4578296078367336,0.27765012810511963,0.09192885788759898,0.6499506428121733,0.2433279216754106,0.2163068142571538
pca,1024,maf,-5.691700458526611,843,0.19684487082308333,0.001423117067502676,0.5662991508550399,0.007449930677814806,0.24430900306559392,0.215454409324074,0.22748799725348418,0.19138895681677826,0.18197357268898295,0.18975542135665607,0.19275772411595005,0.15379727631062792,0.17467947647560256,0.46973036662350404,0.38826499733732567,0.34835475268365756,0.548577567577505,0.30525447834020236,0.09286013919727454,0.6707655337150444,0.2892517646608281,0.23174318004669966
pca,1024,nsf,-6.974715232849121,843,0.19907986169767855,0.001431884104063037,0.5528230123257435,0.007975120162877315,0.24897764483811438,0.21731800563844814,0.22759295819466166,0.19875210291755158,0.18300859606781858,0.18855563543502563,0.19529029416711147,0.15502290210480624,0.17720061591556927,0.4426774026553296,0.3795732074694502,0.35478617629760467,0.49356486060908716,0.2879808107745966,0.12331790452281129,0.6576035552396808,0.25913577250967473,0.17950409975209689
pca,2048,maf,-4.924126942952474,843,0.19338951943660992,0.0014168836126431726,0.5865684193348155,0.007622623131727121,0.24189255316466174,0.21078438311765127,0.22418520434257203,0.18538716087316812,0.1769042889540161,0.185669379041026,0.1907206247167914,0.1508823747201551,0.17407970599944764,0.4842559368574232,0.4345790196072936,0.38079303731280645,0.589837766707751,0.3799666596645939,0.1981455160785956,0.6750933609209904,0.3398308402777441,0.24671297775323972
pca,2048,nsf,-6.014212608337402,843,0.19577129440129984,0.0014147008010163059,0.5726649903458191,0.007477436059066034,0.2458792315834435,0.2127154993154636,0.22528313941462177,0.18809601393415448,0.18125012367880727,0.1868856294479123,0.19343656720432012,0.15274340215423732,0.17565204287873826,0.4619606678487595,0.40940079706758314,0.36882595725325396,0.5629443884654172,0.32006717635240717,0.16667569044671046,0.6658171338110009,0.302969412712155,0.20967773893750416
pca,4096,maf,-2.071309108734131,843,0.19045216378040225,0.0014287760426248486,0.6031863129170112,0.007883628932942621,0.23795247359108984,0.20959416789451923,0.22058495752341215,0.17497666034231374,0.1743710590327061,0.18476095823806996,0.1928500351861818,0.1464023801904038,0.17257678202492382,0.5332313145439856,0.4412992412691588,0.4159088468472162,0.6439917127957714,0.4101473736729469,0.22191233986328293,0.6737829797709568,0.4024069510759353,0.27375269286959797
pca,4096,nsf,-4.201894073486328,843,0.19182492758810632,0.0014131978997725609,0.596421574418057,0.008052775237030492,0.23515342938513392,0.20996466200256436,0.22368398121903005,0.17800861189392786,0.17870216366652805,0.18500911381837012,0.19357994994325906,0.14754818024300145,0.17477425612114195,0.5328211834954614,0.44053837607231655,0.3840759919664651,0.6241670845317773,0.3590999662915612,0.21517416979637363,0.667964408358637,0.3938019031425133,0.22744204104452076
pca,7349,maf,0.5438281222752163,843,0.18755536168975853,0.0014064313878733676,0.6181625074346978,0.007862708327601624,0.23568519560197332,0.20608904859965047,0.21758547768628667,0.16784418756939934,0.17292511832191437,0.18354688835661637,0.19013343222880144,0.14312183241806856,0.1710670744251162,0.545484722820314,0.47617834604463266,0.43982811574190256,0.6772101396574597,0.43177434255490305,0.24733163586500911,0.6866749148033776,0.4468645156130532,0.30743334732024136
pca,7349,nsf,-1.5372887311662946,843,0.18879925058456054,0.0014354101894413693,0.6119310757075337,0.00777827248051051,0.23397960444401986,0.20703239051538558,0.22122085292988913,0.171869337617138,0.17604818804841277,0.18400487505153273,0.18847965118726062,0.1455244136776988,0.17103394178970763,0.5462231438082668,0.45994449936311715,0.4142324562982862,0.6554188920997519,0.39286113959985997,0.23882976384052992,0.6897356641227597,0.4166704289553913,0.3029108583437986
