model,ell,clean_masked_dl,noisy_cross_dl,unmasked_beamed_dl,noise_noise_dl,signal_noise_dl
fgas-8sigma,2580.792,2.8108296e-13,2.7910505e-13,7.1722294e-13,-2.4611122e-16,-1.7317988e-15
fgas-8sigma,2780.699,2.6248873e-13,2.6510323e-13,6.6793007e-13,8.961891e-16,1.7183102e-15
fgas-8sigma,2980.6187,2.412285e-13,2.4154414e-13,6.1519057e-13,-8.1512733e-16,1.1307657e-15
fgas-8sigma,3180.548,2.2001991e-13,2.222367e-13,5.6114493e-13,1.1555941e-15,1.0611927e-15
fgas-8sigma,3380.486,2.0074864e-13,1.9961944e-13,5.1113654e-13,-4.917838e-16,-6.374128e-16
fgas-8sigma,3580.4312,1.7973326e-13,1.8012211e-13,4.56961e-13,3.84624e-16,4.2251062e-18
fgas-8sigma,3780.3818,1.6012089e-13,1.5832743e-13,4.0757686e-13,-1.2182494e-15,-5.7521076e-16
fgas-8sigma,3980.3374,1.4179394e-13,1.4139858e-13,3.615177e-13,8.609511e-16,-1.2563054e-15
fgas-8sigma,4180.2974,1.2472807e-13,1.2511322e-13,3.1753875e-13,8.223574e-16,-4.3720813e-16
fgas-8sigma,4380.261,1.0888632e-13,1.0933039e-13,2.7737263e-13,-5.3879183e-17,4.9794806e-16
fgas-8sigma,4580.228,9.419356e-14,9.1029824e-14,2.4034274e-13,-3.4375945e-15,2.7385867e-16
fgas-8sigma,4780.1973,8.133759e-14,8.0424166e-14,2.0703994e-13,-2.5277372e-16,-6.606531e-16
fgas-8sigma,4980.1694,6.964938e-14,6.895962e-14,1.7734573e-13,-9.507136e-16,2.6095772e-16
fgas-8sigma,5180.1436,5.91615e-14,6.066556e-14,1.5081258e-13,1.498288e-15,5.7714707e-18
fgas-8sigma,5380.1196,5.0145208e-14,5.388988e-14,1.2764177e-13,3.9646936e-15,-2.2002189e-16
fgas-8sigma,5580.097,4.20453e-14,3.8089405e-14,1.0727023e-13,-4.518666e-15,5.6277123e-16
fgas-8sigma,5780.0767,3.5180206e-14,4.041399e-14,8.941583e-14,5.9194135e-15,-6.856308e-16
fgas-8sigma,5980.0576,2.919e-14,2.6134312e-14,7.438553e-14,-2.7153403e-15,-3.403463e-16
fgas-8sigma,6180.0396,2.405174e-14,2.894823e-14,6.137664e-14,5.0465202e-15,-1.5003113e-16
fgas-8sigma,6380.0225,1.9794506e-14,2.638319e-14,5.0450363e-14,6.718932e-15,-1.3024741e-16
fgas-8sigma,6580.0063,1.6155766e-14,1.824725e-14,4.1161512e-14,1.995427e-15,9.60565e-17
fgas-8sigma,6779.9917,1.3134537e-14,1.36438695e-14,3.3419844e-14,4.380575e-16,7.127528e-17
fgas-8sigma,6979.9775,1.0598638e-14,2.5882181e-14,2.696529e-14,1.4362599e-14,9.20945e-16
fgas-8sigma,7179.9644,8.4954965e-15,1.09505165e-14,2.1600514e-14,2.0155132e-15,4.3950676e-16
fgas-8sigma,7379.9517,6.791382e-15,6.9791678e-15,1.727112e-14,2.1113821e-16,-2.3352275e-17
fgas-8sigma,7579.94,5.3926937e-15,6.567115e-15,1.37188345e-14,8.607951e-16,3.1362623e-16
fgas-8sigma,7779.928,4.2610623e-15,-7.411242e-15,1.083695e-14,-1.2249817e-14,5.77513e-16
fgas-8sigma,7929.605,3.5532825e-15,2.607446e-14,9.039853e-15,2.155462e-14,9.665561e-16
Mstar-1sigma,198.01805,9.968929e-14,9.846981e-14,3.1337584e-13,-1.2410119e-15,2.1528401e-17
Mstar-1sigma,388.2717,1.8640383e-13,1.8629653e-13,4.9739824e-13,-1.3155491e-16,2.4259553e-17
Mstar-1sigma,585.247,2.5843932e-13,2.5750997e-13,6.5332136e-13,-3.2807852e-16,-6.012725e-16
Mstar-1sigma,783.7734,3.1538194e-13,3.1016753e-13,7.9589655e-13,-2.239649e-15,-2.9747672e-15
Mstar-1sigma,982.90125,3.6201397e-13,3.7235064e-13,9.154924e-13,8.8262925e-15,1.5103826e-15
Mstar-1sigma,1182.3248,3.9461086e-13,4.016164e-13,1.0034757e-12,6.106869e-15,8.986761e-16
Mstar-1sigma,1381.9154,4.170234e-13,4.1103544e-13,1.0661884e-12,-4.5669763e-15,-1.4209909e-15
Mstar-1sigma,1581.6096,4.3238313e-13,4.278475e-13,1.0973559e-12,-4.6952082e-15,1.5958397e-16
