case,ell,ell_upper,signal_masked,noise_sigma,delta4096,delta8192,cumulative_error4096,cumulative_error8192,amplitude_information_fraction
Battaglia12,7579.939742744064,7679,1.0678085722629833e-14,1.3540556003619763e-14,1.6823515336777594e-15,6.39310673173105e-17,9.788575896102627,0.383105722665132,0.9999922494934703
Battaglia12,7779.928438303342,7879,8.703051397374245e-15,1.5941341931267367e-14,1.4885742372732956e-15,5.3480315609899305e-17,9.78923301683992,0.3831278138792814,0.999999993672511
Battaglia12,7929.6050756620425,7979,7.458063289013319e-15,2.5902427342459924e-14,1.363982428479806e-15,4.990327575294691e-17,9.789435319733357,0.3831346781530631,1.0
FL_L1_m9,198.01805555555555,279,9.835491456046484e-14,1.4129805042638224e-15,-9.299890120856245e-19,9.952949710755033e-19,0.0006581754024767373,0.0007043939870876438,0.010782602724187778
FL_L1_m9,388.2717105263158,479,1.820282255262458e-13,1.4893637371223357e-15,2.820561204912036e-17,3.0129642859888624e-19,0.018949678708669676,0.0007328042906376809,0.0440116038460884
FL_L1_m9,585.2469827586207,679,2.535221632295952e-13,1.878567352038159e-15,2.418096644807425e-17,7.931658215231991e-18,0.022929033908549033,0.00428630761794882,0.08472489816062302
FL_L1_m9,783.7733974358974,879,3.18244573930836e-13,2.8154427421485733e-15,3.406640168672428e-17,-4.36027321746612e-19,0.025924447445883392,0.004289283053269588,0.11320409556745274
FL_L1_m9,982.9012755102041,1079,3.6728236928899706e-13,3.2871201266392143e-15,6.829185750541497e-17,5.7373138509196275e-18,0.03324328536472013,0.004631367775375208,0.14109439040006672
FL_L1_m9,1182.3247881355933,1279,3.9956802568191313e-13,4.761186617608042e-15,1.6275766170478042e-16,2.4197192040328375e-18,0.047700911812108435,0.004658335166966976,0.15679437121376386
FL_L1_m9,1381.9153985507246,1479,4.271519930829848e-13,5.24061290508981e-15,2.8501707337128285e-16,-3.0701350465903656e-18,0.07227396247371141,0.004695180858302294,0.1714163467084101
FL_L1_m9,1581.6096518987342,1679,4.425775138429614e-13,5.8578834553899945e-15,2.682670536491787e-16,-7.610333444846e-18,0.08549417464836102,0.004874351114762126,0.18395838241091553
FL_L1_m9,1781.3726123595507,1879,4.481597929784411e-13,4.2179926094054545e-15,3.538632717908657e-16,-3.768669188841057e-18,0.11976144633579217,0.004956078259890158,0.2090712385207992
FL_L1_m9,1981.1834595959597,2079,4.4578981382247813e-13,4.159078004299608e-15,3.4108940514487617e-16,-9.500160226844672e-18,0.1453137520924256,0.005451612974340182,0.2351435394891641
FL_L1_m9,2181.029013761468,2279,4.375061650299612e-13,3.619220532951819e-15,4.847598295719811e-16,7.996633662606189e-18,0.1976138779177271,0.0058785530162393336,0.2673976376064345
FL_L1_m9,2380.900525210084,2479,4.228063943244831e-13,2.894085393425126e-15,5.730411709748531e-16,-6.3429283640084715e-18,0.27965197164599914,0.006279153809010442,0.31465639342069235
FL_L1_m9,2580.791957364341,2679,4.051485287454793e-13,2.6284740648653903e-15,6.443706437885957e-16,-4.419030623068728e-19,0.37196460828334416,0.006281400472661175,0.36785213656741583
FL_L1_m9,2780.699010791367,2879,3.840396301784004e-13,2.2217855006839315e-15,6.12278279689375e-16,-5.640532693302606e-18,0.463115374378219,0.006774525677004545,0.4348673358657005
FL_L1_m9,2980.6185402684564,3079,3.598861132487339e-13,1.900807127028427e-15,7.548369655710335e-16,3.963130543226578e-18,0.609926947986176,0.007090671892941066,0.5147888471921657
FL_L1_m9,3180.5481918238993,3279,3.3310186735162334e-13,1.5508786694794967e-15,7.404278475023611e-16,1.0855868502076496e-17,0.7740924033062395,0.009963817886083309,0.6171062681494471
FL_L1_m9,3380.486168639053,3479,3.070404900392488e-13,1.4488940587133584e-15,8.094166565871095e-16,7.766690714620742e-18,0.9541547691133686,0.011310967037730593,0.7163277485699324
FL_L1_m9,3580.4310754189946,3679,2.7948925035073617e-13,1.577336162689284e-15,8.475778750133434e-16,5.6678620346288064e-18,1.0936545960764543,0.011862164298619861,0.784893973785832
FL_L1_m9,3780.381812169312,3879,2.5363865753772286e-13,1.5223625795318922e-15,9.021938445983119e-16,1.646637990011592e-17,1.242659758817031,0.016034826426136104,0.8453039725983231
FL_L1_m9,3980.3375,4079,2.2665422003092458e-13,1.6252655943090504e-15,9.285472265823013e-16,1.6509201588216907e-17,1.3671061289426019,0.018973725392615257,0.8884243173999643
FL_L1_m9,4180.2974282296655,4279,2.0286920293247466e-13,1.4503960630774347e-15,8.85831778117184e-16,1.6880966274375027e-17,1.4974887888413948,0.022247091822238014,0.9323253603665563
FL_L1_m9,4380.261015981735,4479,1.7920933820176977e-13,1.589373962574563e-15,9.265242749285993e-16,1.0742507342420888e-17,1.6059559410676445,0.023231948655393703,0.9605766869092481
FL_L1_m9,4580.227783842794,4679,1.5787903645970005e-13,1.8237360877708217e-15,9.05905586875145e-16,1.2262337385359478e-17,1.681743043939799,0.024202097999651097,0.9776063776628898
FL_L1_m9,4780.197332635983,4879,1.3738948703257996e-13,1.95392902932599e-15,9.402540770203007e-16,1.1879146560019638e-17,1.7487983619970078,0.024952704458976613,0.9883246283822782
FL_L1_m9,4980.169327309237,5079,1.1933752485529344e-13,2.6176758463008237e-15,9.297409691765332e-16,1.1064143311012386e-17,1.7839889984174435,0.02530070946513467,0.9928592576198847
FL_L1_m9,5180.143484555984,5279,1.0270406565415889e-13,2.9692538332669858e-15,9.209340824887802e-16,8.37226765198013e-18,1.8110526150279285,0.02545845543470392,0.9956576101942901
FL_L1_m9,5380.119563197026,5479,8.806176296264328e-14,2.8821639655100467e-15,8.807433559822592e-16,6.117053460993044e-18,1.8376321663123631,0.02555329104589038,0.9980832406218031
FL_L1_m9,5580.097356630824,5679,7.478061399618315e-14,3.8704838257577354e-15,8.314592965614062e-16,1.063109721459657e-17,1.8500486501867952,0.025697189489984368,0.9988991106140356
FL_L1_m9,5780.076686851211,5879,6.329338341596738e-14,4.616205011863877e-15,8.226837217468468e-16,8.242376466782603e-18,1.8585988431120162,0.025758075314349507,0.999296366900474
FL_L1_m9,5980.057399665552,6079,5.3165669495185496e-14,4.813466950207868e-15,7.789051777258615e-16,1.1344197411030232e-17,1.8659167390378641,0.02586959721926846,0.9996863401668833
FL_L1_m9,6180.039360841424,6279,4.436076477893876e-14,5.291090315500062e-15,7.377668074496584e-16,7.589739258729336e-18,1.8713855223583216,0.025910311141453687,0.9998650105011959
FL_L1_m9,6380.022452978056,6479,3.682901599024891e-14,5.1670590467678114e-15,6.868129034770126e-16,7.397353883847573e-18,1.8758384166393158,0.025947332415940858,0.9999355596494379
FL_L1_m9,6580.0065729483285,6679,3.043747603428481e-14,6.874682345963156e-15,6.416667596607841e-16,7.038669657933794e-18,1.878221608400556,0.025968039726573473,0.9999799090508174
FL_L1_m9,6779.991629793511,6879,2.5057496173968504e-14,7.693335723634534e-15,6.074494314325242e-16,5.328379475237031e-18,1.879711121742412,0.025976051634903238,0.9999871962848047
FL_L1_m9,6979.977542979943,7079,2.0492562836484185e-14,9.071119871079853e-15,5.432719154342698e-16,6.467627380787653e-18,1.8805214454482653,0.02598418392271635,0.9999872465465177
FL_L1_m9,7179.964240947075,7279,1.6621004135269427e-14,9.762211618621097e-15,5.1313019779844115e-16,5.544009977073094e-18,1.8811179908324231,0.02598861361456019,0.9999888622127014
FL_L1_m9,7379.951659891599,7479,1.3413201884451514e-14,1.1552494226663339e-14,4.557000492932373e-16,5.575866356116917e-18,1.881526694501097,0.02599307603054818,0.9999929974269823
FL_L1_m9,7579.939742744064,7679,1.0793005511418533e-14,1.3540556003619763e-14,4.1708474942995096e-16,4.965208424847346e-18,1.8817202847225412,0.025995124031903283,0.9999938157397229
FL_L1_m9,7779.928438303342,7879,8.610059284195024e-15,1.5941341931267367e-14,3.7434341952949324e-16,3.2924541693228127e-18,1.8819183675490714,0.025996360000900793,0.9999999942103186
FL_L1_m9,7929.6050756620425,7979,7.267142172616878e-15,2.5902427342459924e-14,3.5175165514332887e-16,3.818405832890015e-18,1.8819832360149735,0.02599675820439103,1.0
