shape_index,x,previous_h,smooth_h,previous_dh_dx,smooth_dh_dx,physical_y_over_A
0.000000000000000000e+00,2.931999999999999940e+00,8.807047151681778009e-05,8.807047151681778009e-05,-8.429830037301949209e-05,-8.429830037301949209e-05,4.792644551263534588e-04
0.000000000000000000e+00,2.935999999999999943e+00,8.773414898034430723e-05,8.773414898034430723e-05,-8.386343310073449543e-05,-8.386343310073449543e-05,4.766768049030563033e-04
0.000000000000000000e+00,2.939999999999999947e+00,8.739956034426494701e-05,8.739956034426494701e-05,-8.343134664489792063e-05,-8.343134664489792063e-05,4.741021354631300339e-04
0.000000000000000000e+00,2.943999999999999950e+00,8.706669452756285801e-05,8.706669452756285801e-05,-8.300201991190837413e-05,-8.300201991190837413e-05,4.715403567220124450e-04
0.000000000000000000e+00,2.947999999999999954e+00,8.673554053322594210e-05,8.673554053322594210e-05,-8.257543199279024164e-05,-8.257543199279024164e-05,4.689913792321528789e-04
0.000000000000000000e+00,2.951999999999999957e+00,8.640608744751167400e-05,8.640608744751167400e-05,-8.215156216136485596e-05,-8.215156216136485596e-05,4.664551141767076447e-04
0.000000000000000000e+00,2.955999999999999961e+00,8.607832443921968298e-05,8.607832443921968298e-05,-8.173038987244164114e-05,-8.173038987244164114e-05,4.639314733632891050e-04
0.000000000000000000e+00,2.959999999999999964e+00,8.575224075897134115e-05,8.575224075897134115e-05,-8.131189476002940932e-05,-8.131189476002940932e-05,4.614203692177626837e-04
0.000000000000000000e+00,2.963999999999999968e+00,8.542782573849662950e-05,8.542782573849662950e-05,-8.089605663556752552e-05,-8.089605663556752552e-05,4.589217147780942901e-04
0.000000000000000000e+00,2.967999999999999972e+00,8.510506878992778017e-05,8.510506878992778017e-05,-8.048285548617616796e-05,-8.048285548617616796e-05,4.564354236882444175e-04
0.000000000000000000e+00,2.971999999999999975e+00,8.478395940510002025e-05,8.478395940510002025e-05,-8.007227147292613118e-05,-8.007227147292613118e-05,4.539614101921092418e-04
0.000000000000000000e+00,2.975999999999999979e+00,8.446448715485932229e-05,8.446448715485932229e-05,-7.966428492912750771e-05,-7.966428492912750771e-05,4.514995891275106724e-04
0.000000000000000000e+00,2.979999999999999982e+00,8.414664168837675479e-05,8.414664168837675479e-05,-7.925887635863722140e-05,-7.925887635863722140e-05,4.490498759202293366e-04
0.000000000000000000e+00,2.983999999999999986e+00,8.383041273246959549e-05,8.383041273246959549e-05,-7.885602643418503283e-05,-7.885602643418503283e-05,4.466121865780830471e-04
0.000000000000000000e+00,2.987999999999999989e+00,8.351579009092932929e-05,8.351579009092932929e-05,-7.845571599571801681e-05,-7.845571599571801681e-05,4.441864376850516191e-04
0.000000000000000000e+00,2.991999999999999993e+00,8.320276364385578553e-05,8.320276364385578553e-05,-7.805792604876284784e-05,-7.805792604876284784e-05,4.417725463954406094e-04
0.000000000000000000e+00,2.995999999999999996e+00,8.289132334699843090e-05,8.289132334699843090e-05,-7.766263776280650359e-05,-7.766263776280650359e-05,4.393704304280931410e-04
0.000000000000000000e+00,3.000000000000000000e+00,8.258145923110338162e-05,8.258145923110338162e-05,-7.726983246969394952e-05,-7.726983246969394952e-05,4.369800080606376139e-04
0.000000000000000000e+00,3.004000000000000004e+00,8.227316140126732734e-05,8.227316140126732734e-05,-7.687949166204388922e-05,-7.687949166204388922e-05,4.346011981237809531e-04
