mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e13,1.0,4.0,1.5707387679164451e-6,1.5707387569504597e-6,6.981418998464051e-9
1.0e13,3.0,0.003,5.650125884242047e-5,5.6501258844309925e-5,3.3440805680129415e-11
1.0e13,3.0,0.01,5.612406658097304e-5,5.612406658333537e-5,4.2091219398798785e-11
1.0e13,3.0,0.03,5.5329873171784577e-5,5.5329873184118115e-5,2.2290924661660938e-10
1.0e13,3.0,0.1,5.320267707967967e-5,5.320267711893091e-5,7.377680688591681e-10
1.0e13,3.0,0.3,4.825321193883984e-5,4.825321201829728e-5,1.6466767949196992e-9
1.0e13,3.0,1.0,3.4837891390120685e-5,3.483789162535958e-5,6.752386205732819e-9
1.0e13,3.0,2.0,2.219448980029122e-5,2.2194490122114075e-5,1.4500124212446508e-8
1.0e13,3.0,4.0,9.620302354309512e-6,9.620302337304287e-6,1.7676393682108937e-9
1.0e13,5.0,0.003,0.00016148339205137585,0.00016148339206577215,8.915046478819022e-11
1.0e13,5.0,0.01,0.00016048602306705328,0.00016048602308646234,1.209392586076774e-10
1.0e13,5.0,0.03,0.00015839304134203933,0.00015839304146439819,7.725013961845661e-10
1.0e13,5.0,0.1,0.00015282129920303573,0.00015282129937224879,1.1072609495954566e-9
1.0e13,5.0,0.3,0.00013990623727312226,0.00013990623852225625,8.928365158311635e-9
1.0e13,5.0,1.0,0.00010425148442557068,0.00010425148505233304,6.012023545665102e-9
1.0e13,5.0,2.0,6.899746860376422e-5,6.899746940192331e-5,1.1567947488799746e-8
1.0e13,5.0,4.0,3.147265233101555e-5,3.1472652348150345e-5,5.444342754401532e-10
1.0e14,0.01,0.003,5.977305781837502e-5,5.981014825361231e-5,0.0006205209602960782
1.0e14,0.01,0.01,5.921490901013752e-5,5.9294259165061114e-5,0.0013400367618567888
1.0e14,0.01,0.03,5.801902651028806e-5,5.816674995286569e-5,0.002546120668733387
1.0e14,0.01,0.1,5.472949642444023e-5,5.4964020163311055e-5,0.004285143372269262
1.0e14,0.01,0.3,4.707594409507462e-5,4.733962424748602e-5,0.005601165467417291
1.0e14,0.01,1.0,2.8830525841223358e-5,2.9519168561681607e-5,0.023885888320274606
1.0e14,0.01,2.0,1.5530163282065662e-5,1.693009858265102e-5,0.09014298659705733
1.0e14,0.01,4.0,5.6842612152682125e-6,7.327790659609055e-6,0.28913686090397106
1.0e14,0.1,0.003,6.319000249952166e-5,6.318999917878602e-5,5.2551598517247555e-8
1.0e14,0.1,0.01,6.260813810471669e-5,6.260813134473151e-5,1.0797294702769022e-7
1.0e14,0.1,0.03,6.136264096240427e-5,6.136262761459846e-5,2.175233269063881e-7
1.0e14,0.1,0.1,5.794067916481181e-5,5.794065239095095e-5,4.6209090476256875e-7
1.0e14,0.1,0.3,4.997073330573923e-5,4.997069016211598e-5,8.633778293409833e-7
1.0e14,0.1,1.0,3.080825544993963e-5,3.0808212954090824e-5,1.3793656338245697e-6
1.0e14,0.1,2.0,1.665260843459493e-5,1.6652581734423063e-5,1.603362738689107e-6
1.0e14,0.1,4.0,6.06922918735542e-6,6.069215607818233e-6,2.2374401703606495e-6
