mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,5.0,0.01,5.083061270065825e-7,5.083061316282803e-7,9.092351316297709e-9
1.0e12,5.0,0.03,3.9892411028314803e-7,3.989241142561314e-7,9.959246094481955e-9
1.0e12,5.0,0.1,1.6743478458553524e-7,1.6743479564897397e-7,6.607610703035505e-8
1.0e12,5.0,0.3,1.4390520418713437e-8,1.4390520902635461e-8,3.362783340676856e-8
1.0e12,5.0,1.0,9.156671162307906e-12,9.156669751237437e-12,1.5410299702978136e-7
1.0e12,5.0,2.0,3.069200821235925e-15,3.069200693821822e-15,4.151377197558759e-8
1.0e12,5.0,4.0,4.012824805297731e-20,4.0128244689240575e-20,8.38246596579495e-8
1.0e13,0.01,0.003,1.8811412671449018e-7,1.889227255902328e-7,0.0042984484465107275
1.0e13,0.01,0.01,1.5986063377499766e-7,1.6052170048038138e-7,0.004135268888738164
1.0e13,0.01,0.03,1.0073156559656427e-7,1.0083746728732913e-7,0.0010513257700073275
1.0e13,0.01,0.1,2.07239221035751e-8,2.1877032625310795e-8,0.05564151978436427
1.0e13,0.01,0.3,4.4709057668452533e-10,7.33502456014611e-10,0.6406126504701144
1.0e13,0.01,1.0,8.235776986964495e-14,7.914410353653004e-13,8.609791967630805
1.0e13,0.01,2.0,7.026956182104178e-17,3.5436480397224064e-15,49.42934590580133
1.0e13,0.01,4.0,1.9907590115116446e-20,5.737194238611822e-18,287.1912981649845
1.0e13,0.1,0.003,2.000596759205625e-7,2.0005958668743268e-7,4.460325619959349e-7
1.0e13,0.1,0.01,1.706711826827433e-7,1.7067102981744705e-7,8.956713948293782e-7
1.0e13,0.1,0.03,1.0874121765436453e-7,1.0874107175329136e-7,1.3417274177252025e-6
1.0e13,0.1,0.1,2.3077292744835043e-8,2.307726822247933e-8,1.0626183922779475e-6
1.0e13,0.1,0.3,5.159875433859592e-10,5.159872608054199e-10,5.47649924853566e-7
1.0e13,0.1,1.0,8.935459065583402e-14,8.935218640374793e-14,2.6906866994136358e-5
1.0e13,0.1,2.0,6.603909900453598e-17,6.603181148788863e-17,0.00011035154563288074
1.0e13,0.1,4.0,1.4930840952124685e-20,1.4926078780697883e-20,0.0003189486407411124
1.0e13,0.5,0.003,2.858926883843923e-7,2.858926886207799e-7,8.268401519018198e-10
1.0e13,0.5,0.01,2.471728366272802e-7,2.4717283992023045e-7,1.3322460246101286e-8
1.0e13,0.5,0.03,1.6368458893890967e-7,1.6368459225111274e-7,2.0235277453650724e-8
1.0e13,0.5,0.1,3.888601159127928e-8,3.888601275023291e-8,2.9803869816547035e-8
1.0e13,0.5,0.3,1.0113728975012794e-9,1.0113728026500646e-9,9.378461196529742e-8
1.0e13,0.5,1.0,1.5002088924648413e-13,1.5002084905597905e-13,2.678993924476458e-7
1.0e13,0.5,2.0,6.781626950140012e-17,6.781625326734816e-17,2.393828514302143e-7
1.0e13,0.5,4.0,6.7109489991301775e-21,6.710947046284545e-21,2.909939611495105e-7
1.0e13,1.0,0.003,4.771483019264821e-7,4.771483029228793e-7,2.088233586050592e-9
1.0e13,1.0,0.01,4.172617389438955e-7,4.1726173920091783e-7,6.159739385225294e-10
1.0e13,1.0,0.03,2.857276936831913e-7,2.857276979947135e-7,1.5089619553876332e-8
1.0e13,1.0,0.1,7.525005295848835e-8,7.525005341926455e-8,6.1232674486433325e-9
1.0e13,1.0,0.3,2.3072143537014456e-9,2.3072143156534766e-9,1.6490868670615555e-8
1.0e13,1.0,1.0,3.2766034608262286e-13,3.276603358018072e-13,3.137644133399675e-8
1.0e13,1.0,2.0,9.929183558310793e-17,9.929182860356385e-17,7.029323256801945e-8
1.0e13,1.0,4.0,4.590607752426054e-21,4.590607783057157e-21,6.672559393905431e-9
1.0e13,3.0,0.003,2.490413376407844e-6,2.4904133792165315e-6,1.1277996314618122e-9
1.0e13,3.0,0.01,2.230690595809956e-6,2.2306905997654548e-6,1.7732171286866105e-9
