beta,P0_lower,P0_upper
4.633731414945044591e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.640004046688818384e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.646276678432592178e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.652549310176365971e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.658821941920139764e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.665094573663913557e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.671367205407687351e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.677639837151461144e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.683912468895234937e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.690185100639008731e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.696457732382782524e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.702730364126556317e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.709002995870330111e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.715275627614103904e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.721548259357877697e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.727820891101651490e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.734093522845425284e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.740366154589199965e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.746638786332972870e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.752911418076747552e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.759184049820520457e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.765456681564295138e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.771729313308068043e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.778001945051842725e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.784274576795615630e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.790547208539390311e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.796819840283164105e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.803092472026937898e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.809365103770711691e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.815637735514485485e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.821910367258259278e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.828182999002033071e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.834455630745806864e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.840728262489580658e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.847000894233354451e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.853273525977128244e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.859546157720902038e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.865818789464675831e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.872091421208449624e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.878364052952223417e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.884636684695997211e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.890909316439771004e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.897181948183544797e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.903454579927318591e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.909727211671092384e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.915999843414866177e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.922272475158639971e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.928545106902413764e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.934817738646188445e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.941090370389961350e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.947363002133736032e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.953635633877508937e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.959908265621283618e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.966180897365056524e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.972453529108831205e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.978726160852604110e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.984998792596378792e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.991271424340152585e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.997544056083926378e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.003816687827700171e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.010089319571473965e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.016361951315247758e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.022634583059021551e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.028907214802795345e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.035179846546569138e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.041452478290342931e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.047725110034116724e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.053997741777890518e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.060270373521664311e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.066543005265438104e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.072815637009211898e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.079088268752985691e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.085360900496759484e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.091633532240533278e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.097906163984307071e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.104178795728080864e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.110451427471854657e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.116724059215628451e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.122996690959402244e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.129269322703176037e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.135541954446949831e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.141814586190724512e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.148087217934497417e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.154359849678272099e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.160632481422045004e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.166905113165819685e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.173177744909592590e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.179450376653367272e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.185723008397140177e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.191995640140914858e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.198268271884688652e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.204540903628462445e+00,1.000000000000000000e+00,6.000000000000000000e+01
