radius,p0,xc,beta,los,python_column
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,1.599999996875000008e+01,1.793108294644702028e+01
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,1.599968749694818371e+01,1.647911886291709394e+01
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,1.596871942267131139e+01,9.994067458015003069e+00
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,1.549219154929346942e+01,3.975098587428097296e+00
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,1.000000000000000000e+05,2.079440280525890614e+02
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,1.000000000000000000e+05,2.066031793047816905e+02
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,1.000000000000000000e+05,2.000989684867052461e+02
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,1.000000000000000000e+05,1.892464870294527373e+02
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,3.999999874999998095e+00,2.696154653111218735e+01
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,3.998749804626441140e+00,2.561876150700884480e+01
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,3.872983346207417021e+00,1.891835112138376118e+01
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,8.943712875534336193e-02,2.556489656155870316e-01
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,7.999999937500000158e+00,3.538652312706290815e+01
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,7.999374975584029990e+00,3.404514448519203285e+01
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,7.937253933193772149e+00,2.748816678673111369e+01
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,6.928780484327671019e+00,1.575141317808759034e+01
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,1.599999996875000008e+01,4.465649214651860888e+01
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,1.599968749694818371e+01,4.331550177475420327e+01
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,1.596871942267131139e+01,3.679724861432399763e+01
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.435723898390691700e-01,1.549219154929346942e+01,2.572706121183524886e+01
