case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,5.011872336272715e15,5.0,4.0,0.002676630820368316,627,1.3249413234583242e-13,2.387380263529e-7,171,5.60963335496203e-13,-15.24789901024466,false
Battaglia12,5.011872336272715e15,5.0,100.0,0.0669157705092079,437,1.4282599034791034e-13,9.609563829220786e-20,133,4.3109889065911154e-11,-43.7889430251066,true
Battaglia12,5.011872336272715e15,5.0,10000.0,6.69157705092079,209,1.3310635399557618e-13,1.3073278987487323e-39,95,3.5783237559434367e-12,-89.53283334467034,true
Battaglia12,5.011872336272715e15,5.0,1.0e6,669.157705092079,19,0.0,3.6010732654955973e-60,19,1.8370629090384434e-15,-136.87387364930805,true
Battaglia12,5.011872336272715e15,5.0,1.0e8,66915.7705092079,19,0.0,4.178087371943876e-82,19,3.469453296218778e-15,-187.38212405021122,true
slow_fit_trial,1.0e12,0.1,0.003,1.5606677806835365e-6,969,2.5044236192049924e-14,2.6503128042512385e-7,209,2.4614827548880074e-11,-15.143417978586195,false
slow_fit_trial,1.0e12,0.1,0.1,5.2022259356117885e-5,779,2.734041158197454e-14,2.3535980886676863e-7,171,3.3147665310651356e-11,-15.262150392182463,false
slow_fit_trial,1.0e12,0.1,1.0,0.0005202225935611788,665,3.542220209212279e-14,9.29751288162691e-8,133,5.057286295198266e-12,-16.19093381164262,false
slow_fit_trial,1.0e12,0.1,4.0,0.0020808903742447152,589,1.3241127733913297e-13,7.67566047757776e-9,133,2.4751420811259194e-12,-18.685211491465274,false
slow_fit_trial,1.0e12,0.1,100.0,0.05202225935611788,437,1.0638413995303008e-13,9.572357482844911e-16,133,5.2989802771627565e-12,-34.58248197183169,true
slow_fit_trial,1.0e12,0.1,10000.0,5.202225935611788,171,3.2074580354118436e-13,1.0528408266001017e-28,95,3.3615888117235086e-13,-64.42089054393081,true
slow_fit_trial,1.0e12,0.1,1.0e6,520.2225935611788,19,1.3092907078643396e-16,1.6189441085956418e-42,19,1.4052142909371333e-15,-96.2267997538272,true
slow_fit_trial,1.0e12,0.1,1.0e8,52022.25935611788,19,0.0,1.2938601300107645e-57,19,1.3010442444291674e-15,-130.98972020160596,true
slow_fit_trial,1.0e12,1.0,0.003,2.540452122758492e-7,969,2.4966124472369418e-14,1.4919282265282202e-7,209,4.4928043872520206e-11,-15.71802625587795,false
slow_fit_trial,1.0e12,1.0,0.1,8.468173742528307e-6,779,2.657381090925104e-14,1.3725300011757714e-7,171,1.4593989205396675e-11,-15.801439898015511,false
slow_fit_trial,1.0e12,1.0,1.0,8.468173742528307e-5,665,3.4617860291468285e-14,7.269608611302417e-8,171,1.9320454865098232e-13,-16.436978289990623,false
slow_fit_trial,1.0e12,1.0,4.0,0.00033872694970113227,589,1.1294791619566548e-13,9.796951833714675e-9,133,1.1663159563715614e-11,-18.441194537028096,false
slow_fit_trial,1.0e12,1.0,100.0,0.008468173742528307,437,1.7889998232603042e-13,5.08395052601832e-18,133,5.958471560788647e-11,-39.82044305192329,true
slow_fit_trial,1.0e12,1.0,10000.0,0.8468173742528307,209,2.1383003429527658e-13,1.0530574317699048e-40,95,9.413485839796348e-12,-92.05170594700529,true
slow_fit_trial,1.0e12,1.0,1.0e6,84.68173742528306,19,3.3355507641388717e-16,1.259195443164201e-64,19,2.2673022723845273e-15,-147.1349729717785,true
slow_fit_trial,1.0e12,1.0,1.0e8,8468.173742528306,19,2.5005072515191243e-16,5.789241741794518e-90,19,2.3852498176235134e-15,-205.47665704642165,true
slow_fit_trial,1.0e12,5.0,0.003,1.173049851978326e-7,969,2.4784102530750296e-14,1.6492869090177398e-7,247,1.88866716854687e-11,-15.617752632813833,false
slow_fit_trial,1.0e12,5.0,0.1,3.910166173261086e-6,779,2.559890460310821e-14,1.5791688791644845e-7,209,2.4693937254123305e-11,-15.661196968164841,false
