case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,1.0e12,1.0,749.8942093324558,0.06350234453143128,323,8.872296938781488e-14,9.534689664523673e-20,133,1.0368304038896167e-13,-43.79676516834051,true
Battaglia12,1.0e12,1.0,1000.0,0.08468173742528307,285,8.014856636375538e-13,2.899878755516806e-20,95,2.9744275072582124e-11,-44.98703293220496,true
Battaglia12,1.0e12,1.0,1333.521432163324,0.11292491176944204,285,8.30557348917884e-14,8.816979310215367e-21,95,1.6007011326495174e-12,-46.17760762335155,true
Battaglia12,1.0e12,1.0,1778.2794100389228,0.15058779006970335,247,1.7803364723308122e-13,2.6801542957278126e-21,95,6.5579723285462375e-12,-47.36841258697669,true
Battaglia12,1.0e12,1.0,2371.373705661655,0.20081204548006076,247,1.3072014458395142e-13,8.145631181581514e-22,95,4.4094411875368e-12,-48.559390313682805,true
Battaglia12,1.0e12,1.0,3162.2776601683795,0.26778716648421724,247,9.09759426796831e-14,2.4753315189678835e-22,95,1.9663132107015427e-12,-49.75049771176073,true
Battaglia12,1.0e12,1.0,4216.965034285822,0.3570999257649918,209,4.837294983061808e-13,7.521416551156336e-23,95,7.017850012180318e-13,-50.94170264747651,true
Battaglia12,1.0e12,1.0,5623.413251903491,0.4762004044315486,209,8.193817452124583e-14,2.2852501320932397e-23,95,2.659749529599069e-13,-52.13298165350873,true
Battaglia12,1.0e12,1.0,7498.942093324558,0.6350234453143128,209,5.629934928667485e-14,6.942924080099283e-24,95,1.078513596879011e-13,-53.324319208885875,true
Battaglia12,1.0e12,1.0,10000.0,0.8468173742528307,171,9.148847903484857e-14,2.109248675178547e-24,95,2.105827305397231e-14,-54.51571042589442,true
Battaglia12,1.0e12,1.0,13335.21432163324,1.1292491176944204,171,7.622108606989378e-14,6.407402829849586e-25,57,6.169777313968128e-11,-55.707173310774486,true
Battaglia12,1.0e12,1.0,17782.794100389227,1.5058779006970333,133,2.3905518279074656e-13,1.9461202131193362e-25,57,5.706824216797805e-12,-56.898789568524926,true
Battaglia12,1.0e12,1.0,23713.737056616552,2.0081204548006077,133,4.468242374132822e-14,5.908455797488609e-26,57,2.9960688970671265e-12,-58.090827906949364,true
Battaglia12,1.0e12,1.0,31622.776601683792,2.677871664842172,95,8.370326281726897e-13,1.7916332625115344e-26,57,3.798461162447091e-13,-59.284084776852985,true
Battaglia12,1.0e12,1.0,42169.65034285822,3.570999257649918,95,2.0190948587235214e-14,5.414576453270674e-27,57,1.5141912132748515e-14,-60.48070285075462,true
Battaglia12,1.0e12,1.0,56234.13251903491,4.762004044315486,57,7.854031849069998e-13,1.622709597599761e-27,19,4.450398211461937e-11,-61.68570016770672,true
Battaglia12,1.0e12,1.0,74989.42093324558,6.350234453143128,57,9.93404748574115e-14,4.776692572989638e-28,19,4.121254503533784e-12,-62.90863422716109,true
Battaglia12,1.0e12,1.0,100000.0,8.468173742528307,57,2.845229020996602e-16,1.3625576145571207e-28,19,1.4293968806367615e-13,-64.16301907125856,true
Battaglia12,1.0e12,1.0,133352.1432163324,11.292491176944202,19,6.228344548300913e-13,3.720133372365805e-29,19,0.0,-65.46120817639847,true
Battaglia12,1.0e12,1.0,177827.94100389228,15.058779006970335,19,5.341162538998938e-15,9.677764442756004e-30,19,0.0,-66.8077218612013,true
Battaglia12,1.0e12,1.0,237137.37056616554,20.08120454800608,19,1.6750597191200874e-16,2.4108521472062725e-30,19,3.019298534897435e-16,-68.19757251676394,true
Battaglia12,1.0e12,1.0,316227.7660168379,26.77871664842172,19,0.0,5.810686058107103e-31,19,0.0,-69.6204392366324,true
Battaglia12,1.0e12,1.0,421696.5034285823,35.70999257649918,19,0.0,1.3694750545415094e-31,19,1.471387051800703e-15,-71.065710388272,true
Battaglia12,1.0e12,1.0,562341.3251903491,47.62004044315486,19,1.9827194860813836e-16,3.18243559295095e-32,19,4.80842039481283e-16,-72.52507616244355,true
Battaglia12,1.0e12,1.0,749894.2093324559,63.502344531431284,19,2.1511496753691046e-16,7.333145080037411e-33,19,8.451839367851104e-16,-73.9929035753468,true
Battaglia12,1.0e12,1.0,1.0e6,84.68173742528306,19,1.1727234587818235e-16,1.6814165074713268e-33,19,1.259677139987564e-15,-75.46567147143827,true
Battaglia12,1.0e12,1.0,1.333521432163324e6,112.92491176944202,19,0.0,3.8443920091083377e-34,19,5.578610046131726e-16,-76.94127769641239,true
Battaglia12,1.0e12,1.0,1.778279410038923e6,150.58779006970335,19,1.404340948624522e-16,8.775631481380725e-35,19,1.2372694794440491e-16,-78.41849952433883,true
Battaglia12,1.0e12,1.0,2.3713737056616554e6,200.8120454800608,19,0.0,2.0013903359258763e-35,19,9.887859852766722e-16,-79.89663614778604,true
Battaglia12,1.0e12,1.0,3.1622776601683795e6,267.7871664842172,19,5.065137974713538e-16,4.562059328713949e-36,19,2.196150156583092e-16,-81.37528921902907,true
Battaglia12,1.0e12,1.0,4.216965034285823e6,357.09992576499184,19,1.8522828975216884e-16,1.0395937170145743e-36,19,1.610134162685423e-15,-82.85423336767535,true
Battaglia12,1.0e12,1.0,5.623413251903491e6,476.20040443154863,19,2.032430910844463e-16,2.368618844707756e-37,19,3.9030837218418513e-16,-84.33334142145283,true
Battaglia12,1.0e12,1.0,7.498942093324558e6,635.0234453143128,19,2.2303053661787207e-16,5.39618277052446e-38,19,3.903171724394914e-16,-85.81254172451845,true
Battaglia12,1.0e12,1.0,1.0e7,846.8173742528306,19,0.0,1.229293481453377e-38,19,1.9083592786769267e-15,-87.29179393474581,true
Battaglia12,1.0e12,1.0,1.333521432163324e7,1129.2491176944202,19,2.6860814307082683e-16,2.8003468296771874e-39,19,3.1230931942083188e-15,-88.77107534951575,true
Battaglia12,1.0e12,1.0,1.7782794100389227e7,1505.8779006970333,19,0.0,6.379122342687839e-40,19,3.0849066020855263e-16,-90.25037319570993,true
Battaglia12,1.0e12,1.0,2.3713737056616552e7,2008.1204548006078,19,1.61761436474349e-16,1.4531352045878845e-40,19,4.1137403008554583e-16,-91.72968028748082,true
Battaglia12,1.0e12,1.0,3.162277660168379e7,2677.871664842172,19,1.775301705126683e-16,3.3101590198271346e-41,19,2.7428621427990917e-15,-93.20899258227705,true
Battaglia12,1.0e12,1.0,4.2169650342858225e7,3570.999257649918,19,1.948366337022514e-16,7.540331148812692e-42,19,2.1945910441864354e-15,-94.68830780575381,true
Battaglia12,1.0e12,1.0,5.623413251903491e7,4762.004044315486,19,2.1383056367722629e-16,1.7176365164669897e-42,19,9.75509340818659e-16,-96.16762467822407,true
Battaglia12,1.0e12,1.0,7.498942093324558e7,6350.234453143128,19,2.3467636226184867e-16,3.9126563596860504e-43,19,9.756458032675579e-16,-97.64694247953923,true
Battaglia12,1.0e12,1.0,1.0e8,8468.173742528306,19,1.287772498171024e-16,8.912754024642421e-44,19,8.673624809819713e-16,-99.12626080434012,true
