mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,5.0,2.0,1.3186280573344914e-7,1.3186280485177172e-7,6.686323827942431e-9
1.0e12,5.0,4.0,2.406911036350941e-8,2.4069110033929864e-8,1.3693050582297417e-8
1.0e13,0.01,0.003,8.645313448236626e-7,8.657987950518307e-7,0.0014660546847224953
1.0e13,0.01,0.01,8.416827271921232e-7,8.440992061212551e-7,0.0028710092901553796
1.0e13,0.01,0.03,7.893892409414901e-7,7.930284413596546e-7,0.004610146971124385
1.0e13,0.01,0.1,6.462311532054385e-7,6.53136121732079e-7,0.01068498244380578
1.0e13,0.01,0.3,3.9845516199079435e-7,4.2245797312783754e-7,0.06023967920786455
1.0e13,0.01,1.0,1.3090841047696706e-7,1.7318214700001053e-7,0.3229260547051056
1.0e13,0.01,2.0,5.164790914167705e-8,8.510264912829464e-8,0.6477462600634387
1.0e13,0.01,4.0,1.7488421909021584e-8,3.6496003437817714e-8,1.086866592519184
1.0e13,0.1,0.003,9.087901447426687e-7,9.087900363427232e-7,1.1927940246625468e-7
1.0e13,0.1,0.01,8.850009761150668e-7,8.850007494488372e-7,2.5611975096317963e-7
1.0e13,0.1,0.03,8.305866412900569e-7,8.305862254377208e-7,5.00673036807342e-7
1.0e13,0.1,0.1,6.811201777295365e-7,6.811195217766833e-7,9.630500970025935e-7
1.0e13,0.1,0.3,4.1981520353457215e-7,4.1981456630448324e-7,1.5178823529193863e-6
1.0e13,0.1,1.0,1.3524599396506746e-7,1.3524543822031588e-7,4.1091402065429605e-6
1.0e13,0.1,2.0,5.182892974461562e-8,5.182825463972835e-8,1.3025638202379675e-5
1.0e13,0.1,4.0,1.6825994313462998e-8,1.6825353814460084e-8,3.8066041803008765e-5
1.0e13,0.5,0.003,1.250345644127811e-6,1.250345642838817e-6,1.0309101350358674e-9
1.0e13,0.5,0.01,1.2188738194382984e-6,1.2188738198404844e-6,3.299653883459541e-10
1.0e13,0.5,0.03,1.1470731519374297e-6,1.1470731536575935e-6,1.4996113240073328e-9
1.0e13,0.5,0.1,9.477089664947713e-7,9.477089708099429e-7,4.553266652607135e-9
1.0e13,0.5,0.3,5.863842223286247e-7,5.8638421509184e-7,1.2341370037027843e-8
1.0e13,0.5,1.0,1.7807367543319472e-7,1.7807366888161058e-7,3.679142424051207e-8
1.0e13,0.5,2.0,6.166910445382023e-8,6.166910254828053e-8,3.089942224310249e-8
1.0e13,0.5,4.0,1.714473129021868e-8,1.7144730640013915e-8,3.792446512385084e-8
1.0e13,1.0,0.003,2.025167391353834e-6,2.0251673918244215e-6,2.3236967905404526e-10
1.0e13,1.0,0.01,1.976265650761782e-6,1.976265650873947e-6,5.675593328646755e-11
