beta0,P0_lower_all_guards_except_minimum_size,P0_upper
5.600162988785470475e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.608071610086774683e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.615980231388078892e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.623888852689382212e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.631797473990685532e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.639706095291989740e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.647614716593293949e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.655523337894598157e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.663431959195901477e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.671340580497204797e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.679249201798509006e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.687157823099813214e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.695066444401116534e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.702975065702419855e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.710883687003724063e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.718792308305028271e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.726700929606332480e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.734609550907635800e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.742518172208939120e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.750426793510243328e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.758335414811547537e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.766244036112851745e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.774152657414155065e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.782061278715458386e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.789969900016762594e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.797878521318066802e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.805787142619370123e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.813695763920673443e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.821604385221977651e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.829513006523281859e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.837421627824586068e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.845330249125889388e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.853238870427192708e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.861147491728496917e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.869056113029801125e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.876964734331104445e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.884873355632407765e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.892781976933711974e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.900690598235016182e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.908599219536320390e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.916507840837623711e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.924416462138927031e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.932325083440231239e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.940233704741535448e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.948142326042839656e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.956050947344142976e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.963959568645446296e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.971868189946750505e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.979776811248054713e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.987685432549358033e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.995594053850661354e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.003502675151965562e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.011411296453269770e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.019319917754573979e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.027228539055877299e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.035137160357180619e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.043045781658484827e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.050954402959789036e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.058863024261092356e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.066771645562396564e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.074680266863699885e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.082588888165004093e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.090497509466308301e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.098406130767611621e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.106314752068914942e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.114223373370219150e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.122131994671523358e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.130040615972827567e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.137949237274130887e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.145857858575434207e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.153766479876738416e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.161675101178042624e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.169583722479345944e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.177492343780649264e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.185400965081953473e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.193309586383257681e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.201218207684561889e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.209126828985865210e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.217035450287168530e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.224944071588472738e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.232852692889776947e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.240761314191080267e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.248669935492384475e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.256578556793687795e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.264487178094992004e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.272395799396296212e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.280304420697599532e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.288213041998902852e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.296121663300207061e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.304030284601511269e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.311938905902815478e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.319847527204118798e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.327756148505422118e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.335664769806726326e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.343573391108030535e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.351482012409333855e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.359390633710637175e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.367299255011941383e+00,1.000000000000000000e+00,6.000000000000000000e+01
6.375207876313245592e+00,1.000000000000000000e+00,6.000000000000000000e+01
