mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e14,0.01,4.0,4.227980085031756e-9,1.569231039692177e-8,2.711538389803912
1.0e14,0.1,0.003,9.465458210547238e-6,9.465456776013316e-6,1.5155461996485542e-7
1.0e14,0.1,0.01,9.187350716098656e-6,9.187347859549893e-6,3.1092192420700826e-7
1.0e14,0.1,0.03,8.54895790000122e-6,8.548952754146506e-6,6.019277174473814e-7
1.0e14,0.1,0.1,6.755024402709079e-6,6.7550168931673e-6,1.111697209621454e-6
1.0e14,0.1,0.3,3.5300430619287423e-6,3.530037669899844e-6,1.5274683067278971e-6
1.0e14,0.1,1.0,5.103080520902349e-7,5.103071278486925e-7,1.8111443443880049e-6
1.0e14,0.1,2.0,6.466800066894212e-8,6.46676517265526e-8,5.395905021243763e-6
1.0e14,0.1,4.0,3.771761034608177e-9,3.771671411566669e-9,2.3761590590032355e-5
1.0e14,0.5,0.003,7.234484567863987e-6,7.234484555364141e-6,1.7278142250276574e-9
1.0e14,0.5,0.01,7.05342027121855e-6,7.053420256727244e-6,2.054507786120041e-9
1.0e14,0.5,0.03,6.642156708121646e-6,6.642156724697148e-6,2.495499806798307e-9
1.0e14,0.5,0.1,5.471217631161544e-6,5.471217619285787e-6,2.1705874875266318e-9
1.0e14,0.5,0.3,3.1763933617724718e-6,3.1763934026408433e-6,1.2866281595691476e-8
1.0e14,0.5,1.0,5.578922186771638e-7,5.578922031454397e-7,2.7840008520740867e-8
1.0e14,0.5,2.0,7.315431881847642e-8,7.315431133463467e-8,1.0230211788808674e-7
1.0e14,0.5,4.0,3.533051234891426e-9,3.533050791635599e-9,1.2545977901012861e-7
1.0e14,1.0,0.003,6.7815408993711965e-6,6.781540899649575e-6,4.104938611249054e-11
1.0e14,1.0,0.01,6.635538323189447e-6,6.635538331864087e-6,1.3073000459939976e-9
1.0e14,1.0,0.03,6.3074479364287064e-6,6.307447943690081e-6,1.1512382158684886e-9
1.0e14,1.0,0.1,5.369338246075453e-6,5.369338329316523e-6,1.5503040629027964e-8
1.0e14,1.0,0.3,3.410948578586661e-6,3.4109486160072036e-6,1.0970714336977494e-8
1.0e14,1.0,1.0,7.45023014177035e-7,7.450230180906465e-7,5.2530075844714474e-9
1.0e14,1.0,2.0,1.1107905080207106e-7,1.1107904874064205e-7,1.855821585294848e-8
1.0e14,1.0,4.0,5.253932141690296e-9,5.2539319040723715e-9,4.522668317630263e-8
1.0e14,3.0,0.003,8.901248491193603e-6,8.901248491881e-6,7.722467110227171e-11
1.0e14,3.0,0.01,8.76830253245867e-6,8.768302539825911e-6,8.402127882334298e-10
1.0e14,3.0,0.03,8.4771548087672e-6,8.477154818595539e-6,1.159391249672126e-9
1.0e14,3.0,0.1,7.653529909802617e-6,7.653529993025006e-6,1.0873726363769265e-8
1.0e14,3.0,0.3,5.76824806927117e-6,5.768248154883357e-6,1.484197387213726e-8
1.0e14,3.0,1.0,2.115474555348605e-6,2.1154746743260854e-6,5.624150856142762e-8
1.0e14,3.0,2.0,5.235574055693427e-7,5.23557408053589e-7,4.744935555578422e-9
1.0e14,3.0,4.0,4.0331615851571866e-8,4.0331614962455774e-8,2.204513938064423e-8
1.0e14,5.0,0.003,1.1581477585162276e-5,1.1581477585808152e-5,5.576805683915609e-11
1.0e14,5.0,0.01,1.1441847201716102e-5,1.1441847203074653e-5,1.1873524385919154e-10
1.0e14,5.0,0.03,1.1140170001366562e-5,1.1140170006161768e-5,4.3044279252058004e-10
1.0e14,5.0,0.1,1.0298606901912254e-5,1.0298606924895922e-5,2.2317259151805047e-9
1.0e14,5.0,0.3,8.327900071394187e-6,8.327900096061843e-6,2.962049938659561e-9
1.0e14,5.0,1.0,3.9015640655286346e-6,3.901564154902173e-6,2.2907105323710653e-8
1.0e14,5.0,2.0,1.3117244390608791e-6,1.3117245369394207e-6,7.461821915910605e-8
1.0e14,5.0,4.0,1.6024803427493296e-7,1.6024803445598553e-7,1.1298271207493826e-9
1.0e15,0.01,0.003,6.860875182047777e-5,6.877730279969857e-5,0.0024566979393800814
1.0e15,0.01,0.01,6.494173264832088e-5,6.520940980261059e-5,0.004121804937655016
1.0e15,0.01,0.03,5.63489254589037e-5,5.659911104087221e-5,0.004439935277043894
1.0e15,0.01,0.1,3.484948891971616e-5,3.51504508032021e-5,0.008636048700148224
1.0e15,0.01,0.3,9.918562597439276e-6,1.092573276864641e-5,0.10154396479457217
1.0e15,0.01,1.0,4.0136811083147483e-7,7.592971400271615e-7,0.8917724640709503
1.0e15,0.01,2.0,2.1606461857114753e-8,7.841098015405919e-8,2.629052302621189
1.0e15,0.01,4.0,6.002309532251518e-10,4.856748170660325e-9,7.091465700934149
1.0e15,0.1,0.003,6.143984147900939e-5,6.143982795107478e-5,2.201817953517704e-7
1.0e15,0.1,0.01,5.830556985687226e-5,5.8305543458768525e-5,4.527544075205725e-7
1.0e15,0.1,0.03,5.095883212791098e-5,5.095878943788739e-5,8.377355171784728e-7
1.0e15,0.1,0.1,3.226714697141499e-5,3.22671041105703e-5,1.3283121911289442e-6
1.0e15,0.1,0.3,9.593259291146825e-6,9.593246347362703e-6,1.3492582373597628e-6
