mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e13,5.0,4.0,8.748075998395928e-8,8.748076642179723e-8,7.359147269347943e-8
1.0e14,0.01,0.003,1.9616724353544136e-5,1.9658452293644422e-5,0.0021271614642812686
1.0e14,0.01,0.01,1.883003063748667e-5,1.8903252856214586e-5,0.0038885873388940784
1.0e14,0.01,0.03,1.6995784510304002e-5,1.708058016407074e-5,0.004989216809340613
1.0e14,0.01,0.1,1.203324926877851e-5,1.2090759036358075e-5,0.00477923844964967
1.0e14,0.01,0.3,4.648445473857704e-6,4.837542255587815e-6,0.04067957401965194
1.0e14,0.01,1.0,2.985381281921271e-7,4.3952383640142045e-7,0.47225360815071715
1.0e14,0.01,2.0,1.7660897231592548e-8,4.583529199602577e-8,1.5952980414853268
1.0e14,0.01,4.0,4.025779172828164e-10,2.504653509565428e-9,5.2215372528888
1.0e14,0.1,0.003,1.704577468305126e-5,1.704577149839058e-5,1.8682991753671274e-7
1.0e14,0.1,0.01,1.6394705051643973e-5,1.6394698753111202e-5,3.841809139704111e-7
1.0e14,0.1,0.03,1.4879600875642804e-5,1.4879589976896854e-5,7.324622508519951e-7
1.0e14,0.1,0.1,1.0739223385062589e-5,1.0739209695948804e-5,1.2746837732002803e-6
1.0e14,0.1,0.3,4.340929562813183e-6,4.34092299457208e-6,1.5130955266506874e-6
1.0e14,0.1,1.0,2.9850984698300346e-7,2.9850932331261924e-7,1.7542817749571782e-6
1.0e14,0.1,2.0,1.7593405529305486e-8,1.7593272813452907e-8,7.543499884632432e-6
1.0e14,0.1,4.0,3.6777970638122585e-10,3.6776680829722407e-10,3.507013513248669e-5
1.0e14,0.5,0.003,1.1710310794828651e-5,1.1710310774539107e-5,1.732622156858099e-9
1.0e14,0.5,0.01,1.133573737118621e-5,1.1335737346808269e-5,2.1505387470810433e-9
1.0e14,0.5,0.03,1.0471985006761892e-5,1.0471985051210277e-5,4.2445040815408674e-9
1.0e14,0.5,0.1,8.046439022132986e-6,8.046439002297306e-6,2.4651501950856414e-9
