mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e14,0.01,0.01,2.060056669052634e-5,2.0664934249426465e-5,0.00312455282745816
1.0e14,0.01,0.03,1.9236027890118156e-5,1.9323995809080535e-5,0.004573081275660362
1.0e14,0.01,0.1,1.535470742950132e-5,1.539871026289102e-5,0.0028657552474855574
1.0e14,0.01,0.3,8.038879476275665e-6,8.048584486251444e-6,0.0012072590470377786
1.0e14,0.01,1.0,9.167663160723556e-7,1.0185260206660523e-6,0.11099852035321223
1.0e14,0.01,2.0,6.118996536947954e-8,9.241721692647367e-8,0.5103328849499515
1.0e14,0.01,4.0,8.03218533357682e-10,2.572515515956973e-9,2.2027591609510377
1.0e14,0.1,0.003,2.251382854380199e-5,2.2513825682175168e-5,1.2710529517789837e-7
1.0e14,0.1,0.01,2.1892666564784152e-5,2.1892660541499034e-5,2.7512797950990375e-7
1.0e14,0.1,0.03,2.0473848038893962e-5,2.047383680850113e-5,5.485237953850586e-7
1.0e14,0.1,0.1,1.643280624363749e-5,1.6432789201946396e-5,1.0370530049153004e-6
1.0e14,0.1,0.3,8.736381020199736e-6,8.736368627739938e-6,1.4184889337576223e-6
1.0e14,0.1,1.0,1.036320191542015e-6,1.0363195939862565e-6,5.76613061520348e-7
1.0e14,0.1,2.0,7.101559793504946e-8,7.101559352841657e-8,6.205162006445164e-8
1.0e14,0.1,4.0,9.32662654941422e-10,9.32658626364656e-10,4.319436126998255e-6
1.0e14,0.5,0.003,3.202746953408602e-5,3.202746951042737e-5,7.386985467761065e-10
1.0e14,0.5,0.01,3.120557578026405e-5,3.1205575748618584e-5,1.0140963624394317e-9
1.0e14,0.5,0.03,2.933760744582164e-5,2.933760756437169e-5,4.040890289047638e-9
1.0e14,0.5,0.1,2.3997571890273582e-5,2.399757189040586e-5,5.512257317263902e-12
1.0e14,0.5,0.3,1.3462616144479722e-5,1.3462616592048704e-5,3.324532005244407e-8
1.0e14,0.5,1.0,1.8464907377873495e-6,1.8464907062667959e-6,1.7070518110173794e-8
1.0e14,0.5,2.0,1.4131446276662387e-7,1.4131445225042104e-7,7.441703153698853e-8
1.0e14,0.5,4.0,1.9262260555461846e-9,1.9262256729442495e-9,1.9862774358614388e-7
1.0e14,1.0,0.003,5.324342331385613e-5,5.3243423317082754e-5,6.060130175455924e-11
1.0e14,1.0,0.01,5.196597234241995e-5,5.1965972422826454e-5,1.5472914061120946e-9
1.0e14,1.0,0.03,4.907640027287847e-5,4.90764003416457e-5,1.4012280225017548e-9
1.0e14,1.0,0.1,4.079907103454138e-5,4.079907181938298e-5,1.9236751747087055e-8
1.0e14,1.0,0.3,2.398567798571035e-5,2.3985678368154678e-5,1.594469534182963e-8
1.0e14,1.0,1.0,3.765946101901296e-6,3.76594630078419e-6,5.2810871009612015e-8
1.0e14,1.0,2.0,3.2469098317645263e-7,3.2469098033029053e-7,8.765756454032214e-9
