ell,L1_m9_target_clean,L1_m9_fit_clean,L1_m9_target_noisy,L1_m9_fit_noisy,fgas-8sigma_target_clean,fgas-8sigma_fit_clean,fgas-8sigma_target_noisy,fgas-8sigma_fit_noisy,Mstar-1sigma_target_clean,Mstar-1sigma_fit_clean,Mstar-1sigma_target_noisy,Mstar-1sigma_fit_noisy
2181.0290137614679,4.156230814774254e-13,4.0962667038884527e-13,4.1251971426599318e-13,4.1178221350074435e-13,3.1526180790880166e-13,3.1517919467359569e-13,3.124208279842738e-13,3.1615305097644866e-13,4.2463407612505177e-13,4.2692404675316749e-13,4.2131201390963865e-13,4.2853919325601974e-13
2380.9005252100842,4.0087750335922765e-13,3.9828188338680939e-13,3.9924961964771081e-13,3.9634108831600456e-13,2.9909026247375735e-13,2.9993115519890545e-13,2.9760817384165733e-13,2.9828992976293898e-13,4.0890072046936671e-13,4.1223306940898013e-13,4.0729731447246897e-13,4.1046043346211713e-13
2580.7919573643412,3.8336119245095079e-13,3.834164033493847e-13,3.8148255059593841e-13,3.8157000854196103e-13,2.8108294430435826e-13,2.8324403134666226e-13,2.7910504550777771e-13,2.8204985346515264e-13,3.9051794311391049e-13,3.9451191923366276e-13,3.8843905677579841e-13,3.9327665299298881e-13
2780.6990107913671,3.6439083499570787e-13,3.6386985977875028e-13,3.6736563443148263e-13,3.6528142150804442e-13,2.6248872144552069e-13,2.6423535614487676e-13,2.6510322260369189e-13,2.6562311559497266e-13,3.7050120155093949e-13,3.7357839169932681e-13,3.7369554579110842e-13,3.748333684757652e-13
2980.6185402684564,3.4040290810666071e-13,3.4159460071440232e-13,3.4057990026195184e-13,3.4428482526491709e-13,2.4122852067654416e-13,2.4401943285376263e-13,2.4154415716279358e-13,2.4599410452629666e-13,3.4549733396112093e-13,3.4973333852015808e-13,3.4567379488937834e-13,3.5218315979450313e-13
3180.5481918238993,3.1532352297732134e-13,3.1812839259027239e-13,3.1781288480911612e-13,3.1932713920021651e-13,2.2001992235831237e-13,2.2224101582920188e-13,2.2223670043311766e-13,2.2281837648192623e-13,3.1956076043844063e-13,3.2332274956089942e-13,3.2203895896705669e-13,3.2410231102926522e-13
3380.4861686390532,2.9284094921595742e-13,2.9369385973555739e-13,2.9178970198087658e-13,2.920811207721107e-13,2.00748603186279e-13,2.0179457879596125e-13,1.996194402671149e-13,1.9989959534631571e-13,2.9631702853250247e-13,2.9763127824587222e-13,2.9520841161984207e-13,2.9564940565812321e-13
3580.4310754189946,2.6669018742785071e-13,2.6803695078707724e-13,2.6711650067170224e-13,2.6891428619039983e-13,1.797332654209621e-13,1.8092932788665027e-13,1.8012208955499772e-13,1.8136455892021018e-13,2.6929008485816133e-13,2.7053779545722946e-13,2.6977564139925816e-13,2.7093941265144415e-13
3780.3818121693121,2.4106086302227285e-13,2.4376247228572615e-13,2.3933006699782203e-13,2.4143773162972814e-13,1.6012089557805867e-13,1.6172157683230633e-13,1.5832742008818779e-13,1.5970095736077837e-13,2.4303497036162694e-13,2.4524696021588115e-13,2.411761678345329e-13,2.4314222564338317e-13
3980.3375000000001,2.1668577277562706e-13,2.1837618601057535e-13,2.1593803422738765e-13,2.2022272074084809e-13,1.4179392475875923e-13,1.4238817706818647e-13,1.4139859630402488e-13,1.4422048040141037e-13,2.1816752281851437e-13,2.1885865046982634e-13,2.1734325792088626e-13,2.2094736134116722e-13
4180.2974282296655,1.9357536115162802e-13,1.9556291536622527e-13,1.9356136651825703e-13,1.9541013828392864e-13,1.2472808467226891e-13,1.2547398848257518e-13,1.251132161690859e-13,1.2525319757962253e-13,1.9451807444509622e-13,1.9561867054619061e-13,1.9457761574333323e-13,1.9528379332069631e-13
4380.261015981735,1.7165240816498644e-13,1.7313887728586585e-13,1.7211243204292009e-13,1.736430997982861e-13,1.0888632654848516e-13,1.0928410627813938e-13,1.093303945169468e-13,1.0968246640956203e-13,1.7213382131315093e-13,1.7256186558843996e-13,1.7260265538195292e-13,1.7305508807348003e-13
4580.2277838427945,1.5065753203637747e-13,1.5283895271847143e-13,1.4753202691269024e-13,1.4912562863217798e-13,9.4193555447946131e-14,9.4921565512184758e-14,9.1029833212183253e-14,9.1023853063437714e-14,1.5082127049527512e-13,1.5173521963388268e-13,1.4766200170659171e-13,1.4796555173119772e-13
4780.197332635983,1.3204621611901738e-13,1.3304838527360148e-13,1.3104054615327179e-13,1.3424614755027723e-13,8.1337581788847347e-14,8.1419942522139251e-14,8.0424156597816006e-14,8.1958616456212116e-14,1.3193484855644704e-13,1.3196024689835883e-13,1.3085659242703739e-13,1.3262470234450744e-13
4980.1693273092369,1.1456983414333974e-13,1.1550636922943876e-13,1.1416990544754721e-13,1.1489246551282185e-13,6.9649372664085512e-14,6.9743471610154452e-14,6.8959623863664939e-14,6.9489282218673725e-14,1.1433038094834933e-13,1.1448474274169172e-13,1.140481469344099e-13,1.1416297820726213e-13
5180.1434845559843,9.8803533651372756e-14,9.9522171576284748e-14,1.0009675575109742e-13,1.0051210358648699e-13,5.9161495887448512e-14,5.9202932967434356e-14,6.0665562553613444e-14,6.0640424839081274e-14,9.8402941630085302e-14,9.8431543205915879e-14,9.9764993935332723e-14,9.9735126966877359e-14
5380.1195631970259,8.489896603754066e-14,8.5448956720908657e-14,8.8788468084202512e-14,8.8874076699294372e-14,5.0145208465771011e-14,5.0088001535939911e-14,5.3889873234381047e-14,5.3654541789593978e-14,8.4412779994883102e-14,8.4278661544901218e-14,8.831935455418617e-14,8.8105994255806556e-14
5580.0973566308239,7.2165630123954687e-14,7.2578496784706938e-14,6.8510047330432995e-14,6.8181462903937392e-14,4.2045298967918979e-14,4.1990818290836226e-14,3.8089402272657925e-14,3.7744210665808933e-14,7.159736664225902e-14,7.1468606957713763e-14,6.7849117485286779e-14,6.7469672599473752e-14
5780.076686851211,6.1191347735593918e-14,6.136124479887326e-14,6.6311890801860371e-14,6.7057465819418766e-14,3.5180204684926275e-14,3.5089399115867902e-14,4.0413986685824264e-14,4.0942689591389023e-14,6.061050650474532e-14,6.0477549967910032e-14,6.5635750978903663e-14,6.6149936283259327e-14
5980.0573996655521,5.1525490499250579e-14,5.1603235493667899e-14,4.82582079749486e-14,4.9861360276386446e-14,2.918999952733493e-14,2.9131620498627615e-14,2.6134308515104858e-14,2.7069812072778109e-14,5.0906523588324741e-14,5.0742278468167598e-14,4.7711858468825387e-14,4.8719765258499638e-14
