mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e13,3.0,0.01,1.978994908631076e-6,1.9789949087780326e-6,7.42581551804733e-11
1.0e13,3.0,0.03,1.934129203534702e-6,1.9341292043704358e-6,4.320983570949011e-10
1.0e13,3.0,0.1,1.8102392151650563e-6,1.8102392178181914e-6,1.465626731089742e-9
1.0e13,3.0,0.3,1.5188043626539187e-6,1.5188043676368352e-6,3.2808151750884917e-9
1.0e13,3.0,1.0,8.176405821113538e-7,8.176405949556077e-7,1.5708924161472737e-8
1.0e13,3.0,2.0,3.3683165059307096e-7,3.3683166986615397e-7,5.72187410785574e-8
1.0e13,3.0,4.0,6.128780879775782e-8,6.128780885396127e-8,9.170413317605153e-10
1.0e13,5.0,0.003,2.403822777555582e-6,2.4038227778761125e-6,1.3334200410497488e-10
1.0e13,5.0,0.01,2.382614121818712e-6,2.3826141222768235e-6,1.9227264225207819e-10
1.0e13,5.0,0.03,2.3375350479390273e-6,2.3375350509945763e-6,1.3071670412756475e-9
1.0e13,5.0,0.1,2.214690448135112e-6,2.2146904524147876e-6,1.9324033484480196e-9
1.0e13,5.0,0.3,1.9254649341908116e-6,1.9254649649090315e-6,1.595366372342255e-8
1.0e13,5.0,1.0,1.1786092521330118e-6,1.1786092671439686e-6,1.2736160570625543e-8
1.0e13,5.0,2.0,5.770657012274143e-7,5.770657205337304e-7,3.345601040649626e-8
1.0e13,5.0,4.0,1.4029934458460955e-7,1.402993542523135e-7,6.890769155276644e-8
1.0e14,0.01,0.003,1.5193552681413146e-5,1.5222434054979153e-5,0.0019008966613409672
1.0e14,0.01,0.01,1.4666618658894528e-5,1.4718950773575647e-5,0.0035681104076010772
1.0e14,0.01,0.03,1.3446099820421593e-5,1.3511826952430147e-5,0.004888193073558034
1.0e14,0.01,0.1,1.0076334179657345e-5,1.0126221150274577e-5,0.0049509047365605685
1.0e14,0.01,0.3,4.564955229320909e-6,4.714090589825087e-6,0.03266962171858223
1.0e14,0.01,1.0,4.6031502118766203e-7,6.316221282677179e-7,0.37215189423552864
1.0e14,0.01,2.0,4.293122504548928e-8,9.452343281350726e-8,1.2017408707380621
1.0e14,0.01,4.0,1.784636808529176e-9,8.196014970094631e-9,3.5925394628890617
1.0e14,0.1,0.003,1.3380468339673443e-5,1.3380466113899653e-5,1.6634498389844765e-7
1.0e14,0.1,0.01,1.293281709336395e-5,1.2932812677845025e-5,3.4141973037637996e-7
1.0e14,0.1,0.03,1.1897833615381034e-5,1.1897825808341502e-5,6.561731978882435e-7
1.0e14,0.1,0.1,9.022980056721528e-6,9.022969422875622e-6,1.1785292485244625e-6
1.0e14,0.1,0.3,4.2006127835234185e-6,4.20060644208816e-6,1.5096452791185655e-6
1.0e14,0.1,1.0,4.376035857726517e-7,4.3760284324250007e-7,1.6968100257086505e-6
1.0e14,0.1,2.0,3.993364351888097e-8,3.993340027116481e-8,6.09129783113449e-6
1.0e14,0.1,4.0,1.516573117965432e-9,1.5165304085252132e-9,2.8161807507198766e-5
1.0e14,0.5,0.003,9.65718106154091e-6,9.65718104512513e-6,1.6998521479294482e-9
1.0e14,0.5,0.01,9.374140325564925e-6,9.374140306302235e-6,2.0548753809634945e-9
1.0e14,0.5,0.03,8.7247980571168e-6,8.724798089071906e-6,3.6625611432583582e-9
1.0e14,0.5,0.1,6.890551260830623e-6,6.890551247228465e-6,1.974030494622525e-9
1.0e14,0.5,0.3,3.544305879945578e-6,3.5443059281606923e-6,1.3603542070583785e-8
1.0e14,0.5,1.0,4.348832218859748e-7,4.348832080446744e-7,3.1827625646130286e-8
1.0e14,0.5,2.0,3.929346366473301e-8,3.929345902116746e-8,1.1817653922108207e-7
1.0e14,0.5,4.0,1.1597571721523921e-9,1.1597570117726434e-9,1.3828735245802193e-7
1.0e14,1.0,0.003,8.576184147462668e-6,8.576184147954481e-6,5.734634989096321e-11
1.0e14,1.0,0.01,8.354200348340079e-6,8.354200362616138e-6,1.7088481740756833e-9
1.0e14,1.0,0.03,7.849134723875789e-6,7.849134735631549e-6,1.4977141749028533e-9
1.0e14,1.0,0.1,6.409271409075319e-6,6.409271531741246e-6,1.9138825635423018e-8
1.0e14,1.0,0.3,3.603347579263328e-6,3.603347623948173e-6,1.2400925619715508e-8
1.0e14,1.0,1.0,5.374549903502769e-7,5.374549867095135e-7,6.774080518745507e-9
1.0e14,1.0,2.0,5.269389603241708e-8,5.269389475655033e-8,2.4212799654144135e-8
1.0e14,1.0,4.0,1.4010026098098662e-9,1.401002541678863e-9,4.8630175886188454e-8
1.0e14,3.0,0.003,9.860851985500998e-6,9.860851986540807e-6,1.0544831674508259e-10
1.0e14,3.0,0.01,9.672166045198251e-6,9.672166056832833e-6,1.2028931184460134e-9
1.0e14,3.0,0.03,9.252028355383643e-6,9.252028370902352e-6,1.6773304967188096e-9
1.0e14,3.0,0.1,8.050666689044548e-6,8.050666810610642e-6,1.5100127592759804e-8
1.0e14,3.0,0.3,5.42961550098037e-6,5.4296156049168995e-6,1.9142521123782785e-8
1.0e14,3.0,1.0,1.353512511002618e-6,1.3535125890973345e-6,5.769781652453787e-8
1.0e14,3.0,2.0,2.0503512511823705e-7,2.0503512524086402e-7,5.980778094993866e-10
1.0e14,3.0,4.0,7.178461128537697e-9,7.178460736546245e-9,5.4606613453245245e-8
1.0e14,5.0,0.003,1.1864083589884443e-5,1.1864083590829784e-5,7.968092852195241e-11
1.0e14,5.0,0.01,1.1673906387917019e-5,1.1673906389997533e-5,1.7821921716176803e-10
1.0e14,5.0,0.03,1.1255661932281944e-5,1.1255661939753227e-5,6.637799199182837e-10
1.0e14,5.0,0.1,1.0067839530717918e-5,1.0067839564430207e-5,3.34851280037185e-9
1.0e14,5.0,0.3,7.3715467818048285e-6,7.37154681196409e-6,4.091307070908101e-9
1.0e14,5.0,1.0,2.4115335989252876e-6,2.4115336662133655e-6,2.7902608445984356e-8
1.0e14,5.0,2.0,4.987447434583703e-7,4.987447779455184e-7,6.914789296708079e-8
1.0e14,5.0,4.0,2.610468409354125e-8,2.610468404787746e-8,1.7492566284360578e-9
1.0e15,0.01,0.003,7.386624398060625e-5,7.407550518243503e-5,0.0028329747195987576
1.0e15,0.01,0.01,6.884608160171769e-5,6.914675886330987e-5,0.004367383801617608
1.0e15,0.01,0.03,5.7140482357222014e-5,5.736946333179537e-5,0.0040073335948032085
1.0e15,0.01,0.1,3.0351671109747515e-5,3.079356790110376e-5,0.014559224424856465
1.0e15,0.01,0.3,6.109590930759809e-6,7.151549204341767e-6,0.17054468709779513
1.0e15,0.01,1.0,1.3085758773616534e-7,3.133110953010064e-7,1.3942906232743892
1.0e15,0.01,2.0,4.736520458356588e-9,2.4140979445155132e-8,4.096775081497533
1.0e15,0.01,4.0,9.204763741099279e-11,1.0984445579918237e-9,10.933435652316286
1.0e15,0.1,0.003,6.509925530037717e-5,6.509923828291766e-5,2.614078984386481e-7
